,0,1,2,3
0,3.22,7.45,1.45,1.85
1,2.34,6.42,1.37,0.457
2,3.28,5.93,0.88,1.3
3,2.56,5.41,1.26,2.15
4,2.63,4.18,1.37,2.71
5,2.34,5.1,1.68,1.77
6,3.4,5.84,1.17,2.97
7,2.68,6.24,1.51,3.85
8,2.55,6.33,1.13,2.62
9,3.6,6.21,1.45,2.19
10,5.78,6.23,0.72,3.31
11,5.78,6.2,1.06,3.45
12,3.69,5.26,1.06,1.71
13,3.55,5.26,1.59,0.24
14,3.79,2.72,1.74,0.16
15,3.98,3.24,1.6,0.183
16,3.04,2.8,1.54,0.377
17,3.88,4.74,1.51,0.0
18,3.53,2.42,1.8,0.057100000000000005
19,4.12,3.15,3.3,0.4
20,2.65,2.67,5.07,0.297
21,2.94,1.69,4.16,0.308
22,4.84,3.23,4.96,0.24
23,4.64,2.86,6.42,0.217
24,3.2,2.67,3.9,0.217
25,4.68,3.56,4.36,0.228
26,4.92,3.95,6.6,0.126
27,2.87,3.76,5.16,0.251
28,2.3,3.43,2.88,1.36
29,1.99,2.39,3.46,2.73
30,3.48,3.04,3.55,4.27
31,3.61,4.1,3.43,4.7
32,3.92,2.34,3.53,3.62
33,4.55,1.6,3.7,3.94
34,4.56,2.64,5.06,4.92
35,5.22,4.4,4.6,4.57
36,4.9,3.11,4.89,4.17
37,4.46,4.59,3.95,3.91
38,4.92,5.87,3.75,5.15
39,5.52,5.34,4.15,5.02
40,5.28,5.26,3.76,5.11
41,4.52,7.24,3.75,3.74
42,4.57,4.35,2.8,3.31
43,3.86,6.02,0.526,5.13
44,4.39,7.51,1.2,6.43
45,2.96,6.24,0.777,6.36
46,3.14,4.73,1.12,6.31
47,4.46,4.39,0.8230000000000001,6.65
48,5.37,2.35,0.651,7.68
49,7.31,3.13,1.12,7.73
50,3.48,2.6,1.44,7.85
51,5.08,3.69,0.845,6.61
52,4.43,5.61,1.35,7.85
53,5.7,5.87,1.37,8.07
54,4.73,4.34,0.88,9.29
55,3.72,4.68,1.25,6.57
56,2.91,5.77,1.31,2.68
57,2.25,4.72,0.72,2.8
58,3.1,4.08,1.95,3.2
59,3.29,3.8,2.5,3.67
60,3.08,4.33,2.76,6.85
61,2.3,3.14,3.29,5.73
62,1.41,4.44,4.06,3.61
63,2.5,4.44,3.35,4.23
64,3.35,4.95,2.54,4.4
65,3.0,5.8,2.49,3.8
66,1.58,6.92,2.56,6.71
67,0.971,3.64,2.81,8.43
68,1.98,3.69,2.83,7.31
69,1.99,5.02,2.6,4.79
70,1.99,6.48,2.34,5.34
71,2.5,6.05,2.82,6.31
72,2.12,3.7,2.46,4.92
73,2.3,3.56,3.98,1.68
74,3.16,1.17,2.86,2.09
75,2.0,1.82,4.33,1.69
76,2.16,2.12,4.33,1.62
77,3.02,2.9,4.16,1.99
78,2.47,2.02,3.02,1.21
79,2.99,2.63,3.58,0.834
80,3.3,3.11,3.82,1.35
