,0,1,2,3
0,1.4,2.18,1.47,2.71
1,1.99,1.08,1.87,2.9
2,1.63,0.799,1.92,2.9
3,1.77,0.741,0.834,2.31
4,2.0,1.59,1.81,2.05
5,1.51,2.05,1.58,2.06
6,1.16,1.22,1.87,2.14
7,1.83,1.95,1.58,2.02
8,1.01,1.9,1.4,1.74
9,0.765,1.91,1.49,1.68
10,2.14,1.55,1.67,2.81
11,2.39,1.25,1.41,2.14
12,1.84,2.27,1.44,2.13
13,2.05,1.46,1.67,2.14
14,2.24,2.03,1.88,2.39
15,2.44,1.66,1.67,1.76
16,2.13,1.62,1.74,2.17
17,2.0,1.73,1.76,2.06
18,1.9,1.55,1.45,1.89
19,2.29,1.36,1.92,2.18
20,2.63,1.48,1.68,2.21
21,1.46,0.973,1.12,2.09
22,2.63,1.37,1.8,1.85
23,2.46,1.59,1.42,2.35
24,1.82,1.87,1.37,1.88
25,1.56,1.59,1.69,2.24
26,1.53,1.56,1.71,2.15
27,1.37,1.41,1.54,2.28
28,1.7,2.33,1.66,2.36
29,1.92,1.9,1.17,2.41
30,1.74,1.32,1.95,3.17
31,1.52,2.06,1.7,2.92
32,1.89,1.81,1.38,2.56
33,1.19,1.93,1.24,2.73
34,1.08,1.31,1.38,2.93
35,1.24,1.54,0.463,2.87
36,1.7,1.48,0.498,2.04
37,1.46,1.7,1.09,2.72
38,1.62,1.71,1.55,2.53
39,1.47,2.02,0.88,1.76
40,1.66,2.26,1.52,1.04
41,1.59,2.17,1.11,1.81
42,1.77,1.66,1.78,1.09
43,1.55,2.11,1.31,1.2
44,1.32,2.44,1.45,1.19
45,1.6,2.11,1.47,1.05
46,1.73,2.26,1.83,1.12
47,1.67,1.84,1.39,0.985
48,1.99,2.11,2.04,1.12
49,1.24,1.81,1.71,1.1
50,1.49,1.05,1.95,1.71
51,1.52,1.17,1.75,1.74
52,1.74,2.26,2.51,1.1
53,1.62,2.02,1.54,1.23
54,2.11,1.04,1.8,1.58
55,2.37,1.9,1.73,2.13
