,time,321,1222,1267,299,1245,344,1223,322,1268
0,0,79.15524799743969,86.46094333212223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,79.61944799112895,86.45971159201706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,80.08359271013616,86.44799907264873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,80.54749597514231,86.42582277874341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,81.01095037904379,86.3932072948068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,81.47374147604125,86.35018473542647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,81.93564774226323,86.29680314473396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,82.39644826364466,86.23312635749804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,82.85589974963395,86.15921694587313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,83.31376722133439,86.07515299858446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,83.76978501912569,85.98102789537202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,84.22369583913887,85.87694166057315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,84.6752353514489,85.76300076943056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,85.12413226587672,85.63932627931285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,85.57009177489581,85.50604518022828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,86.0128284223918,85.36330671841235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,86.45205010721529,85.21124060207164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,86.88743249315489,85.05000650439254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,87.31867854690209,84.87977695909518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,87.74546794658056,84.70070428635614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,88.1674741170854,84.51297763997893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,88.5843644771464,84.31678159778576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,88.99580971320493,84.11228799282752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,89.40145724375307,83.8997040056579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,89.80096738092111,83.6792233046637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,90.19399601117053,83.45104989007221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,90.58018564614913,83.21538970287094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,90.95918423669069,82.97245814110202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,91.33063651953059,82.72246397131185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,91.6941749191424,82.46563244767744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,92.04945817387683,82.20216613917162,67.87930473387958,0.0,0.0,0.0,0.0,0.0,0.0
31,31,92.39610504219195,81.93229878288639,68.12513813726518,0.0,0.0,0.0,0.0,0.0,0.0
32,32,92.73378133585119,81.65624853563901,68.36853030734218,0.0,0.0,0.0,0.0,0.0,0.0
33,33,93.06212351479988,81.37423325591068,68.60936152907813,0.0,0.0,0.0,0.0,0.0,0.0
34,34,93.38077784277881,81.08648518651273,68.84751066569206,0.0,0.0,0.0,0.0,0.0,0.0
35,35,93.68940132259625,80.79322049397159,69.0828660754063,0.0,0.0,0.0,0.0,0.0,0.0
36,36,93.98764254747951,80.49465428597902,69.3152932930916,0.0,0.0,0.0,0.0,0.0,0.0
37,37,94.27516220148787,80.1910296127247,69.54467834637929,0.0,0.0,0.0,0.0,0.0,0.0
38,38,94.55163400265862,79.88255086407956,69.7709009040723,0.0,0.0,0.0,0.0,0.0,0.0
39,39,94.81674562854398,79.5694425129766,69.99383417951637,0.0,0.0,0.0,0.0,0.0,0.0
40,40,95.07015853597142,79.25191951751431,70.21335604841786,0.0,0.0,0.0,0.0,0.0,0.0
41,41,95.3115800537124,78.9302015742808,70.42933804505606,0.0,0.0,0.0,0.0,0.0,0.0
42,42,95.5407028364949,78.60450562812726,70.64166230106545,0.0,0.0,0.0,0.0,0.0,0.0
43,43,95.75726751414024,78.275038739473,70.85019916957125,0.0,0.0,0.0,0.0,0.0,0.0
44,44,95.96097005636071,77.94201202875529,71.05482994399104,0.0,0.0,0.0,0.0,0.0,0.0
45,45,96.1515663363314,77.60562654902594,71.2554242179535,0.0,0.0,0.0,0.0,0.0,0.0
46,46,96.32882105783057,77.26608701882324,71.45186287997775,0.0,0.0,0.0,0.0,0.0,0.0
47,47,96.49247654739393,76.9235946780411,71.64402688279282,0.0,0.0,0.0,0.0,0.0,0.0
48,48,96.64234830363577,76.57834717646497,71.8317856304431,0.0,0.0,0.0,0.0,0.0,0.0
49,49,96.77822006157514,76.23053186994967,72.01502626257071,0.0,0.0,0.0,0.0,0.0,0.0
50,50,96.89990768081523,75.88033257659947,72.19362461382565,0.0,0.0,0.0,0.0,0.0,0.0
51,51,97.00724919740281,75.52794894585298,72.36746289790078,0.0,0.0,0.0,0.0,0.0,0.0
52,52,97.10011606774101,75.17354410628309,72.53642400045632,0.0,0.0,0.0,0.0,0.0,0.0
53,53,97.17836005775045,74.81730337183731,72.70039761334509,0.0,0.0,0.0,0.0,0.0,0.0
54,54,97.24188853471723,74.45939517648652,72.85926843167692,0.0,0.0,0.0,0.0,0.0,0.0
55,55,97.29061125701017,74.0999903585808,73.01292220863094,0.0,0.0,0.0,0.0,0.0,0.0
56,56,97.32445129746212,73.7392494668359,73.16125197192437,0.0,0.0,0.0,0.0,0.0,0.0
57,57,97.3433775475066,73.37733527538681,73.30415827833856,0.0,0.0,0.0,0.0,0.0,0.0
58,58,97.34735105689356,73.01439429000887,73.44153106898071,0.0,0.0,0.0,0.0,0.0,0.0
59,59,97.33636816330919,72.65058133261476,73.57327417373241,0.0,0.0,0.0,0.0,0.0,0.0
60,60,97.31044974899433,72.28604112188593,73.69929331590122,0.0,0.0,0.0,0.0,0.0,0.0
