,time,153,175,918,940,963,941,154,132,919
0,0,81.10175256279234,76.25207202008203,70.26272911138966,87.2379762772185,0.0,0.0,0.0,0.0,0.0
1,1,81.55788914095632,75.94779831647895,70.55883640781435,86.78340941838647,0.0,0.0,0.0,0.0,0.0
2,2,82.01289466375644,75.64014339308275,70.85298295889142,86.32545875114529,0.0,0.0,0.0,0.0,0.0
3,3,82.46653662568485,75.32929602547226,71.14502501030591,85.86444813748304,0.0,0.0,0.0,0.0,0.0
4,4,82.91855993452448,75.01542930989214,71.43482777428315,85.4006683960949,0.0,0.0,0.0,0.0,0.0
5,5,83.36872556787128,74.69872011382728,71.72224842076574,84.9344031336162,0.0,0.0,0.0,0.0,0.0
6,6,83.8167879311445,74.37934870906611,72.0071359071684,84.46594486677417,0.0,0.0,0.0,0.0,0.0
7,7,84.26247070203468,74.05747971287914,72.2893486327168,83.99556999727874,0.0,0.0,0.0,0.0,0.0
8,8,84.70550638732459,73.73327490529883,72.56874300958904,83.52353921126445,0.0,0.0,0.0,0.0,0.0
9,9,85.14561254334201,73.40690540427477,72.84515545363121,83.05011357103031,0.0,0.0,0.0,0.0,0.0
10,10,85.58251642552172,73.07853284880052,73.11843824333617,82.5755385543782,0.0,0.0,0.0,0.0,0.0
11,11,86.01591392152905,72.74830961449099,73.38844193752492,82.10005982108903,0.0,0.0,0.0,0.0,0.0
12,12,86.44551088953118,72.41639095634486,73.65500931066276,81.62390007156931,0.0,0.0,0.0,0.0,0.0
13,13,86.87100701858508,72.08293469286117,73.91798144776263,81.14729737542898,0.0,0.0,0.0,0.0,0.0
14,14,87.29207870015746,71.74807164827659,74.17719786194343,80.67045212763276,0.0,0.0,0.0,0.0,0.0
15,15,87.70842212149928,71.41195887385288,74.43250291470915,80.19357270385753,0.0,0.0,0.0,0.0,0.0
16,16,88.1197018029291,71.07473233498102,74.68373982221875,79.7168674278601,0.0,0.0,0.0,0.0,0.0
17,17,88.5255941576327,70.73651908644108,74.93073802774974,79.24051567566497,0.0,0.0,0.0,0.0,0.0
18,18,88.92576164156955,70.39746569123511,75.17334503531738,78.76470449765259,0.0,0.0,0.0,0.0,0.0
19,19,89.31987986476159,70.05768693241829,75.41140132979436,78.28960695681448,0.0,0.0,0.0,0.0,0.0
20,20,89.7075930035825,69.71731687835643,75.64474032235147,77.81538265095433,0.0,0.0,0.0,0.0,0.0
21,21,90.08856832373326,69.37646951976348,75.87320139558408,77.34219862425807,0.0,0.0,0.0,0.0,0.0
22,22,90.46246054603142,69.03526666597631,76.09663026826483,76.87020178165909,0.0,0.0,0.0,0.0,0.0
23,23,90.82891187479647,68.6938159719211,76.31487273671117,76.39952646184416,0.0,0.0,0.0,0.0,0.0
24,24,91.18758041734276,68.35223272568199,76.52775487742689,75.93032771184302,0.0,0.0,0.0,0.0,0.0
25,25,91.5381128294618,68.0106235685406,76.73513620791873,75.4627215441868,0.0,0.0,0.0,0.0,0.0
26,26,91.88016362604232,67.66908158138338,76.9368569597824,74.9968318099744,0.0,0.0,0.0,0.0,0.0
27,27,92.21338638676829,0.0,77.13275801060944,74.53277688968963,0.0,0.0,0.0,0.0,0.0
28,28,92.53742455308105,0.0,77.32270146188232,74.07066981601687,0.0,0.0,0.0,0.0,0.0
29,29,92.85195083531408,0.0,77.50653036556132,73.61060608379948,0.0,0.0,0.0,0.0,0.0
30,30,93.15661946060835,0.0,77.68410271639237,73.15268278320022,0.0,0.0,0.0,0.0,0.0
31,31,93.4510859494062,0.0,77.85528507331932,72.69699833267782,0.0,0.0,0.0,0.0,0.0
32,32,93.73502769337483,0.0,78.0199252249944,72.24363443276104,0.0,0.0,0.0,0.0,0.0
33,33,94.00812507951966,0.0,78.17789361925358,71.79267450392486,0.0,0.0,0.0,0.0,0.0
34,34,94.27006208861964,0.0,78.32906306424185,71.3441918652866,0.0,0.0,0.0,0.0,0.0
35,35,94.52051675225786,0.0,78.47330191131536,70.89825021507146,0.0,0.0,0.0,0.0,0.0
36,36,94.7592125337149,0.0,78.61050220230001,70.45492666082478,0.0,0.0,0.0,0.0,0.0
37,37,94.98583793537918,0.0,78.74053089192353,70.0142717728075,0.0,0.0,0.0,0.0,0.0
38,38,95.20013881911152,0.0,78.86327903477083,69.5763496072415,0.0,0.0,0.0,0.0,0.0
39,39,95.4018270750819,0.0,78.97864812248008,69.14120960660537,0.0,0.0,0.0,0.0,0.0
40,40,95.59066339920399,0.0,79.08652902075688,68.70889275775478,0.0,0.0,0.0,0.0,0.0
41,41,95.76639615924515,0.0,79.18683043822982,68.27944791721303,0.0,0.0,0.0,0.0,0.0
42,42,95.92881384348713,0.0,79.27946497892698,67.85292077523813,0.0,0.0,0.0,0.0,0.0
43,43,96.07769366369793,0.0,79.3643492817797,0.0,0.0,0.0,0.0,0.0,0.0
44,44,96.2128543216026,0.0,79.44141132722585,0.0,0.0,0.0,0.0,0.0,0.0
45,45,96.3341041886178,0.0,79.51056907792406,0.0,0.0,0.0,0.0,0.0,0.0
46,46,96.4412837518465,0.0,79.57176645433363,0.0,0.0,0.0,0.0,0.0,0.0
47,47,96.5342556742671,0.0,79.62495199882156,0.0,0.0,0.0,0.0,0.0,0.0
48,48,96.61289463760009,0.0,79.67007174742632,0.0,0.0,0.0,0.0,0.0,0.0
49,49,96.67709827205067,0.0,79.70708371345158,0.0,0.0,0.0,0.0,0.0,0.0
50,50,96.72676623075138,0.0,79.73595799944657,0.0,0.0,0.0,0.0,0.0,0.0
51,51,96.76185357446533,0.0,79.7566696514996,0.0,0.0,0.0,0.0,0.0,0.0
52,52,96.78228593820472,0.0,79.76919147035288,0.0,0.0,0.0,0.0,0.0,0.0
53,53,96.78805538608479,0.0,79.77352296829302,0.0,0.0,0.0,0.0,0.0,0.0
54,54,96.77913538620209,0.0,79.7696470147796,0.0,0.0,0.0,0.0,0.0,0.0
55,55,96.75556597388214,0.0,79.75757323082068,0.0,0.0,0.0,0.0,0.0,0.0
56,56,96.71734728935347,0.0,79.73731628477023,0.0,0.0,0.0,0.0,0.0,0.0
57,57,96.66455652333619,0.0,79.70889586603398,0.0,0.0,0.0,0.0,0.0,0.0
58,58,96.59726263116235,0.0,79.6723294378393,0.0,0.0,0.0,0.0,0.0,0.0
59,59,96.51553686273834,0.0,79.62765385171177,0.0,0.0,0.0,0.0,0.0,0.0
60,60,96.41951605510945,0.0,79.57491802200988,0.0,0.0,0.0,0.0,0.0,0.0
61,61,96.3093069702657,0.0,79.51416124622546,0.0,0.0,0.0,0.0,0.0,0.0
62,62,96.18507056869095,0.0,79.44544192610418,0.0,0.0,0.0,0.0,0.0,0.0
63,63,96.04695823103333,0.0,79.36882304242886,0.0,0.0,0.0,0.0,0.0,0.0
64,64,95.89517436957368,0.0,79.28437919340037,0.0,0.0,0.0,0.0,0.0,0.0
65,65,95.72989201776963,0.0,79.19217502118615,0.0,0.0,0.0,0.0,0.0,0.0
66,66,95.55133609541842,0.0,79.09230080491696,0.0,0.0,0.0,0.0,0.0,0.0
67,67,95.35974082956257,0.0,78.98483661672401,0.0,0.0,0.0,0.0,0.0,0.0
68,68,95.15534921742835,0.0,78.86989478756036,0.0,0.0,0.0,0.0,0.0,0.0
69,69,94.93840223847491,0.0,78.74755591747613,0.0,0.0,0.0,0.0,0.0,0.0
70,70,94.70917932128388,0.0,78.61793950599703,0.0,0.0,0.0,0.0,0.0,0.0
71,71,94.46796661029721,0.0,78.48114722314081,0.0,0.0,0.0,0.0,0.0,0.0
72,72,94.2150462713646,0.0,78.33730494567442,0.0,0.0,0.0,0.0,0.0,0.0
73,73,93.95072626046644,0.0,78.18653441295906,0.0,0.0,0.0,0.0,0.0,0.0
74,74,93.67529927129134,0.0,78.0289531750912,0.0,0.0,0.0,0.0,0.0,0.0
75,75,93.38910219219242,0.0,77.86469522696497,0.0,0.0,0.0,0.0,0.0,0.0
76,76,93.09245519502446,0.0,77.69389681773744,0.0,0.0,0.0,0.0,0.0,0.0
77,77,92.78569109682282,0.0,77.51669625954634,0.0,0.0,0.0,0.0,0.0,0.0
78,78,92.46913501113674,0.0,77.333233737502,0.0,0.0,0.0,0.0,0.0,0.0
79,79,92.1431426968497,0.0,77.14365112134433,0.0,0.0,0.0,0.0,0.0,0.0
80,80,91.80804148721933,0.0,76.94809850755665,0.0,0.0,0.0,0.0,0.0,0.0
81,81,91.4641878208782,0.0,76.74672716634426,0.0,0.0,0.0,0.0,0.0,0.0
82,82,91.11192789733342,0.0,76.539689351494,0.0,0.0,0.0,0.0,0.0,0.0
83,83,90.75161622956529,0.0,76.32713149369334,0.0,67.71908798702626,0.0,0.0,0.0,0.0
84,84,90.38359619895894,0.0,76.10922053693152,0.0,67.97211227818885,0.0,0.0,0.0,0.0
85,85,90.00821836402903,0.0,75.88611047034297,0.0,68.2228770067895,0.0,0.0,0.0,0.0
86,86,89.62582136209046,0.0,75.65796204618334,0.0,68.4712631166236,0.0,0.0,0.0,0.0
87,87,89.23676806329644,0.0,75.4249230172952,0.0,68.71714998119258,0.0,0.0,0.0,0.0
88,88,88.84139015372892,0.0,75.18717334163583,0.0,68.96042087171772,0.0,0.0,0.0,0.0
89,89,88.4400244978868,0.0,74.94485378812595,0.0,69.20095233092398,0.0,0.0,0.0,0.0
90,90,88.03302118624697,0.0,74.69813676532792,0.0,69.43861953499324,0.0,0.0,0.0,0.0
91,91,87.62069875715017,0.0,74.4471810363403,0.0,69.67330188744975,0.0,0.0,0.0,0.0
92,92,87.20338832729135,0.0,74.19214450201643,0.0,69.90487217894122,0.0,0.0,0.0,0.0
93,93,86.7814153654385,0.0,73.93319027261015,0.0,70.13320207798303,0.0,0.0,0.0,0.0
94,94,86.35509943053718,0.0,73.67047397908628,0.0,70.35817347303374,0.0,0.0,0.0,0.0
95,95,85.92473715574083,0.0,73.40415610995342,0.0,70.57964495872054,0.0,0.0,0.0,0.0
96,96,85.49063610376426,0.0,73.13439558826731,0.0,70.79750818515737,0.0,0.0,0.0,0.0
97,97,85.05310551601283,0.0,72.86134362113425,0.0,71.01162024470281,0.0,0.0,0.0,0.0
98,98,84.61243131609926,0.0,72.58515579125202,0.0,71.22186038459643,0.0,0.0,0.0,0.0
99,99,84.16888486748661,0.0,72.30599172638689,0.0,71.42810181199296,0.0,0.0,0.0,0.0
100,100,83.72276310615638,0.0,72.02399119146588,0.0,71.63021746771227,0.0,0.0,0.0,0.0
101,101,83.27431581632865,0.0,71.73930393472962,0.0,71.82807428035002,0.0,0.0,0.0,0.0
102,102,82.82381783353034,0.0,71.45208914135294,0.0,72.0215626011013,0.0,0.0,0.0,0.0
103,103,82.37151330978568,0.0,71.16248035854893,0.0,72.21054362558965,0.0,0.0,0.0,0.0
104,104,81.91765506988833,0.0,70.87062631593868,0.0,72.3948963901519,0.0,0.0,0.0,0.0
105,105,81.46248111204433,0.0,70.57666185381953,0.0,72.57450639026776,0.0,0.0,0.0,0.0
106,106,81.0062150177422,0.0,70.28072517568984,0.0,72.74924179582827,0.0,0.0,0.0,0.0
107,107,80.54908849095402,0.0,69.98295199384214,0.0,72.91899544803171,0.0,0.0,0.0,0.0
108,108,80.0913040866588,0.0,69.68347548234426,0.0,73.08363699722922,0.0,0.0,0.0,0.0
109,109,79.63308693227377,0.0,69.38243170600519,0.0,73.2430673564055,0.0,0.0,0.0,0.0
110,110,79.17461899238961,0.0,69.07993223258649,0.0,73.39715827888668,0.0,0.0,0.0,0.0
111,111,78.71609751350161,0.0,68.77611880574334,0.0,73.54580717024818,0.0,0.0,0.0,0.0
112,112,78.25771296458181,0.0,68.47109796051053,0.0,73.68890070144298,0.0,0.0,0.0,0.0
113,113,77.79963534957277,0.0,68.16499522999953,0.0,73.82634566971569,0.0,0.0,0.0,0.0
114,114,77.34202868668577,0.0,67.8579280152304,0.0,73.95802596279692,0.0,0.0,0.0,0.0
115,115,76.88507123445534,0.0,0.0,0.0,74.08385214479486,0.0,0.0,0.0,0.0
116,116,76.42890127635397,0.0,0.0,0.0,74.2037307274782,0.0,0.0,0.0,0.0
117,117,75.97367822850792,0.0,0.0,0.0,74.31757046403554,0.0,0.0,0.0,0.0
118,118,75.51953578827893,0.0,0.0,0.0,74.42527617697654,0.0,0.0,0.0,0.0
119,119,75.06660881988296,0.0,0.0,0.0,74.52676772835129,0.0,0.0,0.0,0.0
120,120,74.61502673719257,0.0,0.0,0.0,74.6219676557865,0.0,0.0,0.0,0.0
121,121,74.16491360756766,0.0,0.0,0.0,74.71080128013561,0.0,0.0,0.0,0.0
122,122,73.71638825885577,0.0,0.0,0.0,74.79320316766214,0.0,0.0,0.0,0.0
123,123,73.26954608766852,0.0,0.0,0.0,74.86909818809976,0.0,0.0,0.0,0.0
124,124,72.82450246589559,0.0,0.0,0.0,74.9384270117604,0.0,0.0,0.0,0.0
125,125,72.38134374155123,0.0,0.0,0.0,75.0011399320984,0.0,0.0,0.0,0.0
126,126,71.94017585775988,0.0,0.0,0.0,75.05718419220644,0.0,0.0,0.0,0.0
127,127,71.50108234763404,0.0,0.0,0.0,75.10651683030358,0.0,0.0,0.0,0.0
128,128,71.06413699873538,0.0,0.0,0.0,75.14909195558859,0.0,0.0,0.0,0.0
129,129,70.6294213114808,0.0,0.0,0.0,75.18487362362555,0.0,0.0,0.0,0.0
130,130,70.19700150317307,0.0,0.0,0.0,75.21383592699983,0.0,0.0,0.0,0.0
131,131,69.76695695798944,0.0,0.0,0.0,75.23595663160073,0.0,0.0,0.0,0.0
132,132,69.33934106193831,0.0,0.0,0.0,75.25121720981656,0.0,0.0,0.0,0.0
133,133,68.91421503694076,0.0,0.0,0.0,75.25960286875922,0.0,0.0,0.0,0.0
134,134,68.49163137337007,0.0,0.0,0.0,75.26110901007182,0.0,0.0,0.0,0.0
135,135,68.0716447873055,0.0,0.0,0.0,75.25572837197402,0.0,0.0,0.0,0.0
136,136,67.654296386092,0.0,0.0,0.0,75.24347034171737,0.0,0.0,0.0,0.0
137,137,0.0,0.0,0.0,0.0,75.22434163955384,0.0,0.0,0.0,0.0
138,138,0.0,0.0,0.0,0.0,75.19836559770481,0.0,0.0,0.0,0.0
139,139,0.0,0.0,0.0,0.0,75.16555640876055,0.0,0.0,0.0,0.0
140,140,0.0,0.0,0.0,0.0,75.12594480479761,0.0,0.0,0.0,0.0
141,141,0.0,0.0,0.0,0.0,75.07955873695707,0.0,0.0,0.0,0.0
142,142,0.0,0.0,0.0,0.0,75.02643616158272,0.0,0.0,0.0,0.0
143,143,0.0,0.0,0.0,0.0,74.96662494376437,0.0,0.0,0.0,0.0
144,144,0.0,0.0,0.0,0.0,74.90016998934034,67.94073560515315,0.0,0.0,0.0
145,145,0.0,0.0,0.0,0.0,74.82712595556578,68.3721264865693,0.0,0.0,0.0
146,146,0.0,0.0,0.0,0.0,74.74754441575536,68.80658266321196,0.0,0.0,0.0
147,147,0.0,0.0,0.0,0.0,74.66149918593513,69.24407268770632,0.0,0.0,0.0
148,148,0.0,0.0,0.0,0.0,74.5690544186317,69.68455701527105,0.0,0.0,0.0
149,149,0.0,0.0,0.0,0.0,74.47028356422224,70.12799315040765,0.0,0.0,0.0
150,150,0.0,0.0,0.0,0.0,74.36526290402098,70.57432988671296,0.0,0.0,0.0
151,151,0.0,0.0,0.0,0.0,74.25407144355485,71.02352404037332,0.0,0.0,0.0
152,152,0.0,0.0,0.0,0.0,74.13679704942287,71.47550623745626,67.91725486482422,0.0,0.0
153,153,0.0,0.0,0.0,0.0,74.0135300097109,71.93022637259628,68.30645629520063,0.0,0.0
154,154,0.0,0.0,0.0,0.0,73.88436291193051,72.38761329484068,68.69719439877426,0.0,0.0
155,155,0.0,0.0,0.0,0.0,73.74939051995165,72.84759769318148,69.0894016857814,0.0,0.0
156,156,0.0,0.0,0.0,0.0,73.6087158072877,73.31010624800376,69.48299127435754,0.0,0.0
157,157,0.0,0.0,0.0,0.0,73.46244357792153,73.77504914424297,69.87788363394853,0.0,0.0
158,158,0.0,0.0,0.0,0.0,73.31066811844005,74.24235048581916,70.27398469065271,0.0,0.0
159,159,0.0,0.0,0.0,0.0,73.15351589513676,74.71191129454772,70.6712078271575,0.0,0.0
160,160,0.0,0.0,0.0,0.0,72.9910902762099,75.18362746649288,71.06944575119799,0.0,0.0
161,161,0.0,0.0,0.0,0.0,72.82350206400838,75.6574026469774,71.4686100930895,0.0,0.0
162,162,0.0,0.0,0.0,0.0,72.65087522839619,76.13312257147236,71.86858567768523,0.0,0.0
163,163,0.0,0.0,0.0,0.0,72.47332261112487,76.61066746086392,72.26925883358238,0.0,0.0
164,164,0.0,0.0,0.0,0.0,72.29096390060354,77.08991189148684,72.67051765356808,0.0,0.0
165,165,0.0,0.0,0.0,0.0,72.10391944615668,77.57071782972646,73.0722401299955,0.0,0.0
166,166,0.0,0.0,0.0,0.0,71.91231600559772,78.0529617728524,73.47429376592326,0.0,0.0
167,167,0.0,0.0,0.0,0.0,71.71628061439664,78.5364798379007,73.87654758774603,0.0,0.0
168,168,0.0,0.0,0.0,0.0,71.51593464418791,79.02112225618234,74.27887242983495,0.0,0.0
169,169,0.0,0.0,0.0,0.0,71.31139962154715,79.50672581726138,74.68110954063904,0.0,0.0
170,170,0.0,0.0,0.0,0.0,71.10280860133908,79.99312786310631,75.08312042718201,0.0,0.0
171,171,0.0,0.0,0.0,0.0,70.8902828675345,80.48013718205202,75.48475581067497,0.0,0.0
172,172,0.0,0.0,0.0,0.0,70.67395486472121,80.96756982003761,75.8858421681413,0.0,0.0
173,173,0.0,0.0,0.0,0.0,70.45395081737792,81.4552347947143,76.28622696383503,0.0,0.0
174,174,0.0,0.0,0.0,0.0,70.23039640190525,81.94292637930896,76.68572655543053,0.0,0.0
175,175,0.0,0.0,0.0,0.0,70.00342221275407,82.43043129194058,77.08417881392151,0.0,0.0
176,176,0.0,0.0,0.0,0.0,69.7731468846845,82.91751299849797,77.48138311664815,0.0,0.0
177,177,0.0,0.0,0.0,0.0,69.53970484030326,83.4039660670964,77.87717442141906,0.0,0.0
178,178,0.0,0.0,0.0,0.0,69.30321835483137,83.88952245603356,78.27134183763322,0.0,0.0
179,179,0.0,0.0,0.0,0.0,69.0638086806929,84.37395341541449,78.6636898419432,0.0,0.0
180,180,0.0,0.0,0.0,0.0,68.82160673112853,84.85699860024523,79.05401805971076,0.0,0.0
181,181,0.0,0.0,0.0,0.0,68.57672590085271,85.33837295215785,79.44210697078309,0.0,0.0
182,182,0.0,0.0,0.0,0.0,68.32929439909432,85.81782436212,79.82776072064148,0.0,0.0
183,183,0.0,0.0,0.0,0.0,68.0794335357897,86.29504294796419,80.2107354777552,0.0,0.0
184,184,0.0,0.0,0.0,0.0,67.82725262013594,86.76975241927381,80.59082599827077,0.0,0.0
185,185,0.0,0.0,0.0,0.0,0.0,87.24163464254278,80.96778586228851,0.0,0.0
186,186,0.0,0.0,0.0,0.0,0.0,87.71038906634185,81.34139352596453,0.0,0.0
187,187,0.0,0.0,0.0,0.0,0.0,88.17569006244942,81.71139313096889,0.0,0.0
188,188,0.0,0.0,0.0,0.0,0.0,88.63721292370853,82.0775621770178,0.0,0.0
189,189,0.0,0.0,0.0,0.0,0.0,89.09460743751659,82.43963615266584,0.0,0.0
190,190,0.0,0.0,0.0,0.0,0.0,89.54755183607587,82.79736933940025,0.0,0.0
191,191,0.0,0.0,0.0,0.0,0.0,89.995672026318,83.1505045865535,0.0,0.0
192,192,0.0,0.0,0.0,0.0,0.0,90.43861391724887,83.49878903034659,0.0,0.0
193,193,0.0,0.0,0.0,0.0,0.0,90.87601692070129,83.84195867010648,0.0,0.0
194,194,0.0,0.0,0.0,0.0,0.0,91.30751426602092,84.1797463339003,0.0,0.0
195,195,0.0,0.0,0.0,0.0,0.0,91.7327237832827,84.51189005464077,0.0,0.0
196,196,0.0,0.0,0.0,0.0,0.0,92.15125749291823,84.83812548233608,0.0,0.0
197,197,0.0,0.0,0.0,0.0,0.0,92.5627414980333,85.15817792852927,0.0,0.0
198,198,0.0,0.0,0.0,0.0,0.0,92.96677800494774,85.47178726849165,0.0,0.0
199,199,0.0,0.0,0.0,0.0,0.0,93.36298456847788,85.77867542129027,0.0,0.0
200,200,0.0,0.0,0.0,0.0,0.0,93.75095548736594,86.07857976603646,0.0,0.0
201,201,0.0,0.0,0.0,0.0,0.0,94.13031186441984,86.37123712172956,0.0,0.0
202,202,0.0,0.0,0.0,0.0,0.0,94.50064249698188,86.65636703225478,0.0,0.0
203,203,0.0,0.0,0.0,0.0,0.0,94.86155441221032,86.9337231125355,0.0,0.0
204,204,0.0,0.0,0.0,0.0,0.0,95.21266397676465,87.20302539005269,0.0,0.0
205,205,0.0,0.0,0.0,0.0,0.0,95.55356678662258,87.46402917561474,0.0,0.0
206,206,0.0,0.0,0.0,0.0,0.0,95.8839002868454,87.71646529757213,0.0,0.0
207,207,0.0,0.0,0.0,0.0,0.0,96.20325123260416,87.96009250603001,0.0,0.0
208,208,0.0,0.0,0.0,0.0,0.0,96.51127109072871,88.19467209972572,0.0,0.0
209,209,0.0,0.0,0.0,0.0,0.0,96.80757228830439,88.41995055516175,0.0,0.0
210,210,0.0,0.0,0.0,0.0,0.0,97.09180261633722,88.63569520601756,0.0,0.0
211,211,0.0,0.0,0.0,0.0,0.0,97.36359305293061,88.84168613443767,0.0,0.0
212,212,0.0,0.0,0.0,0.0,0.0,97.62262288913264,89.03770777277941,0.0,0.0
213,213,0.0,0.0,0.0,0.0,0.0,97.86855630088887,89.22353120577795,0.0,0.0
214,214,0.0,0.0,0.0,0.0,0.0,98.10106438540073,89.39896870162424,0.0,0.0
215,215,0.0,0.0,0.0,0.0,0.0,98.31983688739061,89.56381100936684,0.0,0.0
216,216,0.0,0.0,0.0,0.0,0.0,98.52459420182763,89.71789126660559,0.0,0.0
217,217,0.0,0.0,0.0,0.0,0.0,98.71506636456864,89.86103093680431,0.0,0.0
218,218,0.0,0.0,0.0,0.0,0.0,98.89097146781958,89.99306746585964,0.0,0.0
219,219,0.0,0.0,0.0,0.0,0.0,99.0520939725225,90.11384553155649,0.0,0.0
220,220,0.0,0.0,0.0,0.0,0.0,99.19818557500567,90.22321736608286,0.0,0.0
221,221,0.0,0.0,0.0,0.0,0.0,99.32906602120833,90.32108014979751,0.0,0.0
222,222,0.0,0.0,0.0,0.0,0.0,99.4445232341393,90.40729307414385,0.0,0.0
223,223,0.0,0.0,0.0,0.0,0.0,99.54441462511065,90.4817701853519,0.0,0.0
224,224,0.0,0.0,0.0,0.0,0.0,99.62858914822763,90.54442510772213,0.0,0.0
225,225,0.0,0.0,0.0,0.0,0.0,99.69693265392894,90.59518048052713,0.0,0.0
226,226,0.0,0.0,0.0,0.0,0.0,99.7493344565713,90.63396812815313,0.0,0.0
227,227,0.0,0.0,0.0,0.0,0.0,99.7857215023602,90.66074789347692,0.0,0.0
228,228,0.0,0.0,0.0,0.0,0.0,99.80605868142587,90.67547977375231,0.0,0.0
229,229,0.0,0.0,0.0,0.0,0.0,99.81029239198314,90.67816136013944,0.0,0.0
230,230,0.0,0.0,0.0,0.0,0.0,99.79842985315796,90.66878117254515,0.0,0.0
231,231,0.0,0.0,0.0,0.0,0.0,99.77049385147325,90.64735603294207,0.0,0.0
232,232,0.0,0.0,0.0,0.0,0.0,99.7265000735483,90.61389368416013,0.0,0.0
233,233,0.0,0.0,0.0,0.0,0.0,99.66653615635778,90.5684580730305,0.0,0.0
234,234,0.0,0.0,0.0,0.0,0.0,99.59068229576441,90.51108524231154,0.0,0.0
235,235,0.0,0.0,0.0,0.0,0.0,99.49904492223584,90.44185780731115,0.0,0.0
236,236,0.0,0.0,0.0,0.0,0.0,99.39176756060525,90.36083958363368,0.0,0.0
237,237,0.0,0.0,0.0,0.0,0.0,99.26897424917685,90.26814048553797,0.0,0.0
238,238,0.0,0.0,0.0,0.0,0.0,99.13087009642955,90.16386975951964,0.0,0.0
239,239,0.0,0.0,0.0,0.0,0.0,98.97762858149987,90.04813584498051,0.0,0.0
240,240,0.0,0.0,0.0,0.0,0.0,98.80946940550047,89.92109219793512,0.0,0.0
241,241,0.0,0.0,0.0,0.0,0.0,98.62662425721823,89.78286320611545,0.0,0.0
242,242,0.0,0.0,0.0,0.0,0.0,98.42935825624338,89.63362662542433,0.0,0.0
243,243,0.0,0.0,0.0,0.0,0.0,98.21791407695976,89.47353062856884,0.0,0.0
244,244,0.0,0.0,0.0,0.0,0.0,97.99258841965904,89.30277568248886,0.0,0.0
245,245,0.0,0.0,0.0,0.0,0.0,97.75367606586777,89.12153209636023,0.0,0.0
246,246,0.0,0.0,0.0,0.0,0.0,97.50149105263164,88.93002126943361,67.69459889411642,0.0
