,time,843,1449,1471,821,1494,866,1472,844,1450
0,0,96.21360119199905,67.94242466285309,93.08240151326599,0.0,0.0,0.0,0.0,0.0,0.0
1,1,96.51265768989276,68.2860761354054,92.6987904493279,0.0,0.0,0.0,0.0,0.0,0.0
2,2,96.79983060029646,68.62980133700212,92.30715331137752,0.0,0.0,0.0,0.0,0.0,0.0
3,3,97.07477305738212,68.97349027415004,91.90787697504022,0.0,0.0,0.0,0.0,0.0,0.0
4,4,97.33713257859448,69.31704046799716,91.50132567744514,0.0,0.0,0.0,0.0,0.0,0.0
5,5,97.58658397386543,69.66033541293181,91.08787910154228,0.0,0.0,0.0,0.0,0.0,0.0
6,6,97.82279800325882,70.0032662887657,90.66793107217816,0.0,0.0,0.0,0.0,0.0,0.0
7,7,98.04547460527505,70.34571561817177,90.24184198366335,0.0,0.0,0.0,0.0,0.0,0.0
8,8,98.25432215738802,70.68755130369935,89.80997637793507,0.0,0.0,0.0,0.0,0.0,0.0
9,9,98.44904713628503,71.0286604680708,89.3726930673602,0.0,0.0,0.0,0.0,0.0,0.0
10,10,98.62939880113723,71.3689100321087,88.9303537892011,0.0,0.0,0.0,0.0,0.0,0.0
11,11,98.79513716862792,71.70815757704655,88.4833046583745,0.0,0.0,0.0,0.0,0.0,0.0
12,12,98.94601134573435,72.04627466725265,88.03189395517995,0.0,0.0,0.0,0.0,0.0,0.0
13,13,99.08182672660216,72.38311792090022,87.57644528004758,0.0,0.0,0.0,0.0,0.0,0.0
14,14,99.20240141958635,72.71854049261688,87.11730136735554,0.0,0.0,0.0,0.0,0.0,0.0
15,15,99.30754429257536,73.05239816080626,86.65477132987502,0.0,0.0,0.0,0.0,0.0,0.0
16,16,99.39711133922246,73.38453739430021,86.18916563011136,0.0,0.0,0.0,0.0,0.0,0.0
17,17,99.47098391836779,73.71480128709393,85.7207954850857,0.0,0.0,0.0,0.0,0.0,0.0
18,18,99.52905790430938,74.04302960181425,85.24996403517143,0.0,0.0,0.0,0.0,0.0,0.0
19,19,99.57124396052318,74.36906510563745,84.77694175082303,0.0,0.0,0.0,0.0,0.0,0.0
20,20,99.59746777965327,74.69273488382436,84.30201618809465,0.0,0.0,0.0,0.0,0.0,0.0
21,21,99.60771538725274,75.01387543587963,83.82545064514639,0.0,0.0,0.0,0.0,0.0,0.0
22,22,99.601965644792,75.33230750134292,83.34751661812147,0.0,0.0,0.0,0.0,0.0,0.0
23,23,99.58021282328349,75.64786811413131,82.86846166660342,0.0,0.0,0.0,0.0,0.0,0.0
24,24,99.54250040580537,75.96036560759791,82.3885257500188,0.0,0.0,0.0,0.0,0.0,0.0
25,25,99.48887590006343,76.26962491118489,81.90794886859061,0.0,0.0,0.0,0.0,0.0,0.0
26,26,99.41942445417325,76.57546181094702,81.42695557937499,0.0,0.0,0.0,0.0,0.0,0.0
27,27,99.33423486676796,76.87769623403247,80.94575548973195,0.0,0.0,0.0,0.0,0.0,0.0
28,28,99.2334441966365,77.17613233391411,80.46456582828989,0.0,0.0,0.0,0.0,0.0,0.0
29,29,99.11718128757725,77.47058538711083,79.98358882182083,0.0,0.0,0.0,0.0,0.0,0.0
30,30,98.98562233835536,77.76086871614862,79.5030050329016,0.0,0.0,0.0,0.0,0.0,0.0
31,31,98.8389456445327,78.04677307634658,79.02300269809675,0.0,0.0,0.0,0.0,0.0,0.0
32,32,98.6773534240425,78.32812184295389,78.54376293350244,0.0,0.0,0.0,0.0,0.0,0.0
33,33,98.50107114318216,78.60471626511121,78.06544598922359,0.0,0.0,0.0,0.0,0.0,0.0
34,34,98.31033579012353,78.87635611312376,77.5882127281876,0.0,0.0,0.0,0.0,0.0,0.0
35,35,98.10541716931758,79.14284699304397,77.11221755459633,0.0,0.0,0.0,0.0,0.0,0.0
36,36,97.88658415420875,79.40398645909383,76.63760185616272,0.0,0.0,0.0,0.0,0.0,0.0
37,37,97.65412595340388,79.65960004544219,76.1645011281434,0.0,0.0,0.0,0.0,0.0,0.0
38,38,97.40834041204171,79.90946983517401,75.69305160150154,0.0,0.0,0.0,0.0,0.0,0.0
39,39,97.1495547845659,80.1534136336949,75.22337710051664,0.0,0.0,0.0,0.0,0.0,0.0
40,40,96.87809246155233,80.3912349071166,74.75558322267241,0.0,0.0,0.0,0.0,0.0,0.0
41,41,96.59430436074987,80.62274473904525,74.28978333975631,0.0,0.0,0.0,0.0,0.0,0.0
42,42,96.29852542882936,80.84775485784759,73.8260917347915,0.0,0.0,0.0,0.0,0.0,0.0
43,43,95.99112692928531,81.06607788128646,73.36459276356668,0.0,0.0,0.0,0.0,0.0,0.0
44,44,95.67247311603505,81.27752756716687,72.905390840001,0.0,0.0,0.0,0.0,0.0,0.0
45,45,95.3429311884063,81.48192661422873,72.44855535110793,0.0,0.0,0.0,0.0,0.0,0.0
46,46,95.00289111070903,81.6790995250546,71.99418156114474,0.0,0.0,0.0,0.0,0.0,0.0
47,47,94.6527336408615,81.86887285912897,71.54233651905396,0.0,0.0,0.0,0.0,0.0,0.0
48,48,94.29284013034699,82.05106783870401,71.09309511545196,0.0,0.0,0.0,0.0,0.0,0.0
49,49,93.92360190182487,82.2255311769314,70.6465224530303,0.0,0.0,0.0,0.0,0.0,0.0
50,50,93.54541922432776,82.39210496379663,70.20267432301287,0.0,0.0,0.0,0.0,0.0,0.0
51,51,93.15867070622424,82.55062675156248,69.76160319774506,0.0,0.0,0.0,0.0,0.0,0.0
52,52,92.76376242652293,82.70095297811771,69.3233692543925,0.0,0.0,0.0,0.0,0.0,0.0
53,53,92.3610776564594,82.8429516981346,68.88801822088082,0.0,0.0,0.0,0.0,0.0,0.0
54,54,91.95099638831114,82.97647164429948,68.45559281804371,0.0,0.0,0.0,0.0,0.0,0.0
55,55,91.53392340815746,83.10139701947396,68.026127598772,0.0,0.0,0.0,0.0,0.0,0.0
56,56,91.1102299187359,83.21760097652073,67.5996649514788,0.0,0.0,0.0,0.0,0.0,0.0
57,57,90.68029179269165,83.32497716374846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,90.24448872805316,83.42340849466441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,89.80318509446734,83.51281470926389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,89.3567481860834,83.59308935930267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,88.90552050747272,83.6641633017986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,88.44987374785634,83.72595733020756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,87.99012750769364,83.77842206769336,0.0,67.65745889655605,0.0,0.0,0.0,0.0,0.0
64,64,87.52662972843967,83.82149830928228,0.0,67.9212231130365,0.0,0.0,0.0,0.0,0.0
65,65,87.05969435913529,83.85513301568119,0.0,68.18296806503477,0.0,0.0,0.0,0.0,0.0
66,66,86.58965369747169,83.87930340144874,0.0,68.442564555338,0.0,0.0,0.0,0.0,0.0
67,67,86.11681471908598,83.89397707978412,0.0,68.69990274279677,0.0,0.0,0.0,0.0,0.0
68,68,85.64146822176001,83.89915207512635,0.0,68.9548551779572,0.0,0.0,0.0,0.0,0.0
69,69,85.163913920574,83.89480887523183,0.0,69.20729803540928,0.0,0.0,0.0,0.0,0.0
70,70,84.68444315022664,83.88095843145658,0.0,69.45710589604008,0.0,0.0,0.0,0.0,0.0
71,71,84.20331464434385,83.85761815014288,0.0,69.70415181691,0.0,0.0,0.0,0.0,0.0
72,72,83.7208036778549,83.82480387377281,0.0,69.94831296592133,0.0,0.0,0.0,0.0,0.0
73,73,83.23716130633537,83.78255380648896,0.0,70.18945409833033,0.0,0.0,0.0,0.0,0.0
74,74,82.7526464155268,83.73091244429753,0.0,70.42744416644277,0.0,0.0,0.0,0.0,0.0
75,75,82.267486374915,83.66992253591364,0.0,70.66215660098968,0.0,0.0,0.0,0.0,0.0
76,76,81.78191643839753,83.59966476534429,0.0,70.89346388042463,0.0,0.0,0.0,0.0,0.0
77,77,81.29614884437987,83.52018602223251,0.0,71.12122038195166,0.0,0.0,0.0,0.0,0.0
78,78,80.81041087869751,83.43158666778415,0.0,71.34530821092072,0.0,0.0,0.0,0.0,0.0
79,79,80.32489228249389,83.33394886818293,0.0,71.56558583385252,0.0,0.0,0.0,0.0,0.0
80,80,79.83979057297117,83.22736031375202,0.0,71.78192260375221,0.0,0.0,0.0,0.0,0.0
81,81,79.35529593348295,83.11192976361929,0.0,71.99418745110223,0.0,0.0,0.0,0.0,0.0
82,82,78.87157717521087,82.9877788236124,0.0,72.20224900159879,0.0,0.0,0.0,0.0,0.0
83,83,78.38881762137862,82.85501821774713,0.0,72.4059697405579,0.0,0.0,0.0,0.0,0.0
84,84,77.9071725415462,82.71377893125903,0.0,72.6052239458629,0.0,0.0,0.0,0.0,0.0
85,85,77.42679098945719,82.5641884962941,0.0,72.79988007874299,67.8379505538429,0.0,0.0,0.0,0.0
86,86,76.947829371686,82.40640177877964,0.0,72.9898007536031,68.15150730611265,0.0,0.0,0.0,0.0
87,87,76.47041750588605,82.24055418171257,0.0,73.17487314553667,68.46425267417092,0.0,0.0,0.0,0.0
88,88,75.9946928069987,82.06680013712617,0.0,73.35496082094872,68.7760811795348,0.0,0.0,0.0,0.0
89,89,75.52077366226749,81.8853049283136,0.0,73.52994013827305,69.08687949874329,0.0,0.0,0.0,0.0
90,90,75.04877957465592,81.6962215126204,0.0,73.69968834244293,69.3965152855288,0.0,0.0,0.0,0.0
91,91,74.57883088360236,81.49972836510989,0.0,73.86408370680861,69.70487510351768,0.0,0.0,0.0,0.0
92,92,74.11102353471348,81.29599863866156,0.0,74.02300567722807,70.01182642954403,0.0,0.0,0.0,0.0
93,93,73.64545504606104,81.08520008970972,0.0,74.17634752293145,70.31723942189001,0.0,0.0,0.0,0.0
94,94,73.18222423732064,80.86751731943295,0.0,74.32399162402398,70.62098719312472,0.0,0.0,0.0,0.0
95,95,72.72141294399832,80.6431363435339,0.0,74.46582196474348,70.9229289396579,0.0,0.0,0.0,0.0
96,96,72.26310470874603,80.41223698802077,0.0,74.60174325623554,71.22292678962981,0.0,0.0,0.0,0.0
97,97,71.80737866511389,80.17501476860215,0.0,74.73163699311144,71.52084609160927,0.0,0.0,0.0,0.0
98,98,71.35429230529095,79.9316584320406,0.0,74.85541846050306,71.81653226365873,0.0,0.0,0.0,0.0
99,99,70.90392839992394,79.68236436409082,0.0,74.97297990843414,72.10985149221915,0.0,0.0,0.0,0.0
100,100,70.45633688697482,79.42731462025802,0.0,75.0842351262823,72.40064410245745,0.0,0.0,0.0,0.0
101,101,70.01157577758595,79.16671989429085,0.0,75.18909416366017,72.68876570345792,0.0,0.0,0.0,0.0
102,102,69.569694049878,78.90076175995681,0.0,75.28747624487627,72.97405772247966,0.0,0.0,0.0,0.0
103,103,69.1307429677341,78.62964258895961,0.0,75.37930351579351,73.25637141046901,0.0,0.0,0.0,0.0
104,104,68.69477047789157,78.35355671279406,0.0,75.46450115563593,73.53554996778223,0.0,0.0,0.0,0.0
105,105,68.26180543322083,78.07270431870697,0.0,75.5429910011129,73.81142840798898,0.0,0.0,0.0,0.0
106,106,67.83189529715304,77.78727037838645,0.0,75.61472407714592,74.08384590795772,0.0,0.0,0.0,0.0
107,107,0.0,77.49745227125659,0.0,75.67962886710004,74.35265243371018,0.0,0.0,0.0,0.0
108,108,0.0,77.20345232783323,0.0,75.73765680599669,74.61766501993394,0.0,0.0,0.0,0.0
109,109,0.0,76.90545051649876,0.0,75.78876293791696,74.87873686378069,0.0,0.0,0.0,0.0
110,110,0.0,76.60364507999162,0.0,75.83289944850524,75.13569463760817,0.0,0.0,0.0,0.0
111,111,0.0,76.29821190805268,0.0,75.87002877801922,75.38837650017514,0.0,0.0,0.0,0.0
112,112,0.0,75.98935112865774,0.0,75.90013026359856,75.63661317467752,0.0,0.0,0.0,0.0
113,113,0.0,75.67723384574848,0.0,75.92316748003672,75.88024097495072,0.0,0.0,0.0,0.0
114,114,0.0,75.36204827196107,0.0,75.93912754054136,76.11908900674277,0.0,0.0,0.0,0.0
115,115,0.0,75.04397320998378,0.0,75.94798840101608,76.35299237788901,0.0,0.0,0.0,0.0
116,116,0.0,74.72317822131834,0.0,75.94975164431212,76.58178590987386,0.0,0.0,0.0,0.0
117,117,0.0,74.39983638799616,0.0,75.9444162817234,76.80530431396194,0.0,0.0,0.0,0.0
118,118,0.0,74.07412395563902,0.0,75.93198530474483,77.0233958564914,0.0,0.0,0.0,0.0
119,119,0.0,73.74620144210698,0.0,75.9124591323551,77.23587546733191,0.0,0.0,0.0,0.0
