,time,770,1421,748,1399,1444,793,1422,771
0,0,68.0576798156505,88.94908424211185,0.0,0.0,0.0,0.0,0.0,0.0
1,1,75.85372321889895,88.91587185242713,0.0,0.0,0.0,0.0,0.0,0.0
2,2,83.44638204566769,65.03959453541506,0.0,0.0,0.0,0.0,0.0,0.0
3,3,85.59944136351885,78.71888195482907,0.0,0.0,0.0,0.0,0.0,0.0
4,4,79.54147811900972,84.82150933239315,0.0,0.0,0.0,0.0,0.0,0.0
5,5,66.3920355704833,94.51727470120953,0.0,0.0,0.0,0.0,0.0,0.0
6,6,65.84441088942228,94.97719718628548,0.0,0.0,0.0,0.0,0.0,0.0
7,7,74.62983260559083,67.41846770453711,0.0,0.0,0.0,0.0,0.0,0.0
8,8,79.5882471905024,79.12988986914041,0.0,0.0,0.0,0.0,0.0,0.0
9,9,74.64794279340043,82.76641980997752,0.0,0.0,0.0,0.0,0.0,0.0
10,10,72.3199501756933,81.47725976885492,0.0,0.0,0.0,0.0,0.0,0.0
11,11,77.58705141904488,66.83741801377344,0.0,0.0,0.0,0.0,0.0,0.0
12,12,69.17291195322275,83.20989320291312,0.0,0.0,0.0,0.0,0.0,0.0
13,13,72.62792002516849,73.91644981158616,0.0,0.0,0.0,0.0,0.0,0.0
14,14,80.3210418392849,79.21484898612474,0.0,0.0,0.0,0.0,0.0,0.0
15,15,72.75970738641854,69.78317843992629,0.0,0.0,0.0,0.0,0.0,0.0
16,16,73.96281376172833,73.45586004434455,0.0,0.0,0.0,0.0,0.0,0.0
17,17,81.52611731676981,69.02554719430258,0.0,0.0,0.0,0.0,0.0,0.0
18,18,79.36256420820918,71.46988021192868,0.0,0.0,0.0,0.0,0.0,0.0
19,19,88.14628955423024,70.89370549650783,0.0,0.0,0.0,0.0,0.0,0.0
20,20,78.2147865194008,86.58746581700211,0.0,0.0,0.0,0.0,0.0,0.0
21,21,81.71550257743205,82.47679518945277,0.0,0.0,0.0,0.0,0.0,0.0
22,22,59.21805148430825,67.91029921629999,0.0,0.0,0.0,0.0,0.0,0.0
23,23,78.02537222650635,75.59479378565555,0.0,0.0,0.0,0.0,0.0,0.0
24,24,77.1586090359688,70.9692061531963,0.0,0.0,0.0,0.0,0.0,0.0
25,25,86.27085862794148,64.44036348175698,0.0,0.0,0.0,0.0,0.0,0.0
26,26,76.61189165610237,83.42322697240624,0.0,0.0,0.0,0.0,0.0,0.0
27,27,79.35821872098111,70.04689024065749,0.0,0.0,0.0,0.0,0.0,0.0
28,28,59.979273264766846,70.92443850188837,0.0,0.0,0.0,0.0,0.0,0.0
29,29,74.80223924056185,74.85108620434015,59.066714227902835,0.0,0.0,0.0,0.0,0.0
30,30,74.3057243334577,65.86135232100983,59.08733615490661,0.0,0.0,0.0,0.0,0.0
31,31,62.66926844366472,69.70927652891166,50.04432567532984,0.0,0.0,0.0,0.0,0.0
32,32,76.68901525660289,82.25871248474502,61.53663939160356,0.0,0.0,0.0,0.0,0.0
33,33,74.08958071763092,73.49228135490348,41.997289409882434,0.0,0.0,0.0,0.0,0.0
34,34,65.28394217868734,74.44816677785177,49.423234528611346,0.0,0.0,0.0,0.0,0.0
35,35,69.58913455503705,68.25392365205373,48.59167105808579,0.0,0.0,0.0,0.0,0.0
36,36,65.81354421645585,72.37270018778179,66.85813488578285,0.0,0.0,0.0,0.0,0.0
37,37,72.95060743115212,72.78501607169201,49.728819254730084,0.0,0.0,0.0,0.0,0.0
38,38,74.07538782595397,69.00537183850804,55.66418033425326,0.0,0.0,0.0,0.0,0.0
39,39,67.42352850963204,76.24714035751254,60.074005283798996,0.0,0.0,0.0,0.0,0.0
40,40,80.06641779485427,52.31048585478471,67.53824175091557,0.0,0.0,0.0,0.0,0.0
41,41,74.88249082631424,72.18322422276594,50.2927068873593,0.0,0.0,0.0,0.0,0.0
42,42,75.60319835502692,72.53121590928657,61.12443832250881,0.0,0.0,0.0,0.0,0.0
43,43,69.01009804839352,66.73157324220203,44.519070865304066,0.0,0.0,0.0,0.0,0.0
44,44,71.02985914658115,73.15649813638976,56.83651850260186,0.0,0.0,0.0,0.0,0.0
45,45,65.85128561760722,44.779541699385405,62.534480572990965,0.0,0.0,0.0,0.0,0.0
46,46,81.23509110906109,72.26082754331226,50.73664411833205,0.0,0.0,0.0,0.0,0.0
47,47,66.67005161276957,58.433466661901036,49.93106798875282,0.0,0.0,0.0,0.0,0.0
