,time,424,446,1052,1030,1075,402,1053,447,425
0,0,51.67405908034176,64.13751833131325,79.88471588440191,0.0,0.0,0.0,0.0,0.0,0.0
1,1,58.20899915682462,42.66164220082721,73.47733133705722,0.0,0.0,0.0,0.0,0.0,0.0
2,2,53.8245474672885,58.326819890800145,72.90444337881138,0.0,0.0,0.0,0.0,0.0,0.0
3,3,57.823533071549235,53.11115761820304,80.86903033571109,0.0,0.0,0.0,0.0,0.0,0.0
4,4,72.08683774842133,58.304118514896516,76.52338058070757,0.0,0.0,0.0,0.0,0.0,0.0
5,5,56.65477516089584,68.13259521709429,67.26932655867547,0.0,0.0,0.0,0.0,0.0,0.0
6,6,54.42933013201196,41.914750739663816,77.70324103988837,0.0,0.0,0.0,0.0,0.0,0.0
7,7,69.40456502874966,43.88823163899418,86.60740152249798,0.0,0.0,0.0,0.0,0.0,0.0
8,8,67.5280344076393,49.237297174266544,64.42206748530813,0.0,0.0,0.0,0.0,0.0,0.0
9,9,61.16468635801569,59.48192802229008,87.54399536198432,0.0,0.0,0.0,0.0,0.0,0.0
10,10,47.05514695786803,59.2801682708634,68.2804747044179,0.0,0.0,0.0,0.0,0.0,0.0
11,11,57.61076353419615,51.92918865831603,79.10119538017084,0.0,0.0,0.0,0.0,0.0,0.0
12,12,63.31918564737154,64.07838312212277,65.75359959320895,0.0,0.0,0.0,0.0,0.0,0.0
13,13,63.59584631169733,56.85719043988133,81.89310041248292,0.0,0.0,0.0,0.0,0.0,0.0
14,14,67.30124021045366,59.95683000927936,67.69889481229458,0.0,0.0,0.0,0.0,0.0,0.0
15,15,61.230225290425025,55.62507499290666,73.23808356715463,0.0,0.0,0.0,0.0,0.0,0.0
16,16,80.2641953746778,51.759226142476365,74.0073013391608,0.0,0.0,0.0,0.0,0.0,0.0
17,17,73.14809541760506,47.88198261145471,49.69255718023021,0.0,0.0,0.0,0.0,0.0,0.0
18,18,61.178575114387016,48.25743645089608,68.20478738024389,0.0,0.0,0.0,0.0,0.0,0.0
19,19,53.931007046177015,55.00837379578141,65.85277596785859,0.0,0.0,0.0,0.0,0.0,0.0
20,20,69.10887884846319,47.84308786696754,62.764454501551484,0.0,0.0,0.0,0.0,0.0,0.0
21,21,72.88595232014657,58.97373454670387,67.15840087148301,0.0,0.0,0.0,0.0,0.0,0.0
22,22,68.24907998063051,58.29019980333236,83.19584224644619,53.57851156415516,0.0,0.0,0.0,0.0,0.0
23,23,67.67014225783775,86.6728069504118,72.43785736140487,66.76118314279246,0.0,0.0,0.0,0.0,0.0
24,24,64.30634544678611,59.18239008448795,71.62811433055252,48.63256906010151,0.0,0.0,0.0,0.0,0.0
25,25,74.16786549796402,54.954981820556064,72.52594735065702,47.42288208655195,0.0,0.0,0.0,0.0,0.0
26,26,66.9273715834493,0.0,62.36812972201824,44.05547519473934,0.0,0.0,0.0,0.0,0.0
27,27,68.76558367339649,0.0,75.76249258836921,61.221429972698644,0.0,0.0,0.0,0.0,0.0
28,28,76.91438930385492,0.0,63.415669884413084,48.519550851529914,0.0,0.0,0.0,0.0,0.0
29,29,64.3817084670871,0.0,70.89739324221466,58.82105925060982,0.0,0.0,0.0,0.0,0.0
30,30,80.58786367442477,0.0,62.80846230341316,52.70821596549055,0.0,0.0,0.0,0.0,0.0
31,31,57.02993032889659,0.0,73.53784244110807,50.1194700432181,0.0,0.0,0.0,0.0,0.0
32,32,72.77936944461754,0.0,65.5646804081705,43.639946520085786,0.0,0.0,0.0,0.0,0.0
33,33,82.63785586911008,0.0,60.952063354620165,49.40711306395428,0.0,0.0,0.0,0.0,0.0
