,time,153,941,963,154,986,964,132,942,155
0,0,49.216398432030665,59.384246549662336,47.7394161016468,0.0,0.0,0.0,0.0,0.0,0.0
1,1,67.79293336723933,64.19099607814651,49.446370731948676,0.0,0.0,0.0,0.0,0.0,0.0
2,2,49.41324345619204,63.689373065410926,62.24255013072272,0.0,0.0,0.0,0.0,0.0,0.0
3,3,66.84417738032151,61.37811923084351,57.98095544680358,0.0,0.0,0.0,0.0,0.0,0.0
4,4,55.83773406023312,58.02445556325414,63.151687789714735,0.0,0.0,0.0,0.0,0.0,0.0
5,5,57.87974669998121,59.1739114127884,46.698362226681496,0.0,0.0,0.0,0.0,0.0,0.0
6,6,56.51356530445076,72.44238078729501,53.07149512470252,0.0,0.0,0.0,0.0,0.0,0.0
7,7,56.09287651555576,59.90068422216844,59.82860643263408,0.0,0.0,0.0,0.0,0.0,0.0
8,8,53.319418019343665,53.04986192898235,47.825115400237806,0.0,0.0,0.0,0.0,0.0,0.0
9,9,51.496027154540236,65.39070484875052,55.925135428744454,0.0,0.0,0.0,0.0,0.0,0.0
10,10,57.457484489815265,58.64931046468763,53.62501832091276,0.0,0.0,0.0,0.0,0.0,0.0
11,11,59.53612541915459,69.61230928761897,63.95820111204016,0.0,0.0,0.0,0.0,0.0,0.0
12,12,41.26370172527884,58.5270073619393,59.91837196085181,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,50.080692966895526,61.80876326650972,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,65.77879844095038,55.68501032755357,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,56.532179552721686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,54.1754383275102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,48.81598755265448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,59.37291599678414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.0,59.12177096871234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.0,56.67610232476609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,69.71486400610468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,67.64681616494516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,63.05863550975563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,68.3491342021752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0.0,62.46572487685245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,0.0,61.85586045924176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,0.0,58.16396472592861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,0.0,55.8496037384199,0.0,54.10879584740259,0.0,0.0,0.0,0.0,0.0
29,29,0.0,61.6353109981021,0.0,49.089994270885455,0.0,0.0,0.0,0.0,0.0
30,30,0.0,70.4868627492367,0.0,55.55397487035668,0.0,0.0,0.0,0.0,0.0
31,31,0.0,78.74847927980359,0.0,50.047458552559014,0.0,0.0,0.0,0.0,0.0
32,32,0.0,73.71122219369808,0.0,64.19809621246593,0.0,0.0,0.0,0.0,0.0
33,33,0.0,56.46293785852446,0.0,42.21125355286817,0.0,0.0,0.0,0.0,0.0
34,34,0.0,54.238537313997625,0.0,57.888138676153844,0.0,0.0,0.0,0.0,0.0
35,35,0.0,59.989658997389,0.0,37.00626982047409,0.0,0.0,0.0,0.0,0.0
36,36,0.0,59.98651282244407,0.0,65.23930275024175,0.0,0.0,0.0,0.0,0.0
37,37,0.0,61.67840053297371,0.0,55.75694840177647,0.0,0.0,0.0,0.0,0.0
38,38,0.0,74.72205335464847,0.0,60.24380338405963,0.0,0.0,0.0,0.0,0.0
39,39,0.0,50.26312799705531,0.0,48.75702324375423,0.0,0.0,0.0,0.0,0.0
40,40,0.0,61.42361336944252,0.0,52.77218066008632,0.0,0.0,0.0,0.0,0.0
41,41,0.0,55.294768705252835,0.0,46.473768007602686,0.0,0.0,0.0,0.0,0.0
42,42,0.0,68.5261584476883,0.0,66.24338382350717,0.0,0.0,0.0,0.0,0.0
43,43,0.0,58.086702374825116,0.0,55.77128043236593,0.0,0.0,0.0,0.0,0.0
44,44,0.0,63.49105537530029,0.0,53.71005577506517,0.0,0.0,0.0,0.0,0.0
45,45,0.0,56.58106784670794,0.0,56.131985502270254,0.0,0.0,0.0,0.0,0.0
46,46,0.0,56.03986744413103,0.0,64.37871048270422,0.0,0.0,0.0,0.0,0.0
47,47,0.0,66.27270533574006,0.0,53.66053985931111,0.0,0.0,0.0,0.0,0.0
48,48,0.0,58.23122155122927,0.0,68.19907229053871,0.0,0.0,0.0,0.0,0.0
49,49,0.0,68.34966706415031,0.0,54.47487652420672,0.0,0.0,0.0,0.0,0.0
50,50,0.0,58.44279659407383,0.0,61.99631082461053,0.0,0.0,0.0,0.0,0.0
51,51,0.0,65.66371727693945,0.0,58.104993142597884,0.0,0.0,0.0,0.0,0.0
52,52,0.0,67.29728328002112,0.0,48.94949593875012,0.0,0.0,0.0,0.0,0.0
53,53,0.0,78.2489191454497,0.0,63.97852493617166,0.0,0.0,0.0,0.0,0.0
54,54,0.0,64.97881048126912,0.0,76.74707488851855,0.0,0.0,0.0,0.0,0.0
55,55,0.0,53.714365444672424,0.0,63.880917147139414,0.0,0.0,0.0,0.0,0.0
56,56,0.0,65.7884374838141,0.0,50.13783279355202,0.0,0.0,0.0,0.0,0.0
57,57,0.0,63.98414486795032,0.0,59.464487698531926,0.0,0.0,0.0,0.0,0.0
58,58,0.0,59.18607766910398,0.0,57.21779511010699,0.0,0.0,0.0,0.0,0.0
59,59,0.0,59.62308416082725,0.0,66.63621188688282,0.0,0.0,0.0,0.0,0.0
60,60,0.0,72.40102592339558,0.0,65.14965581285686,0.0,0.0,0.0,0.0,0.0
61,61,0.0,64.15987993896836,0.0,55.45156350857815,0.0,0.0,0.0,0.0,0.0
62,62,0.0,63.463233024436796,0.0,68.24680743631663,51.87999300590379,0.0,0.0,0.0,0.0
63,63,0.0,65.78850786248228,0.0,67.0331307882198,65.76102497930778,0.0,0.0,0.0,0.0
