,time,234,999,1044,1022,212,1000,235,1045,1023
0,0,78.66159542413283,41.52600312963052,50.25341169367524,0.0,0.0,0.0,0.0,0.0,0.0
1,1,83.36035003370368,0.0,47.49171259517874,0.0,0.0,0.0,0.0,0.0,0.0
2,2,73.47797758255132,0.0,69.04159279890932,0.0,0.0,0.0,0.0,0.0,0.0
3,3,70.17824315086257,0.0,64.27064370087722,0.0,0.0,0.0,0.0,0.0,0.0
4,4,78.4808870781738,0.0,51.726498443371206,0.0,0.0,0.0,0.0,0.0,0.0
5,5,77.44334140244777,0.0,49.263201983792115,0.0,0.0,0.0,0.0,0.0,0.0
6,6,75.2093140230161,0.0,56.17314488339252,0.0,0.0,0.0,0.0,0.0,0.0
7,7,77.0738247871822,0.0,38.994851444031724,0.0,0.0,0.0,0.0,0.0,0.0
8,8,64.51549448409867,0.0,52.36091744203726,0.0,0.0,0.0,0.0,0.0,0.0
9,9,72.87944189345,0.0,55.71619518553251,0.0,0.0,0.0,0.0,0.0,0.0
10,10,84.87633706604277,0.0,58.238519917583176,0.0,0.0,0.0,0.0,0.0,0.0
11,11,82.24727585388761,0.0,62.27992632275027,0.0,0.0,0.0,0.0,0.0,0.0
12,12,66.38809676650072,0.0,54.01194368095481,0.0,0.0,0.0,0.0,0.0,0.0
13,13,73.60885173681112,0.0,72.02442583366714,0.0,0.0,0.0,0.0,0.0,0.0
14,14,73.65952995418984,0.0,50.58784956740017,0.0,0.0,0.0,0.0,0.0,0.0
15,15,83.24602633435296,0.0,60.12169149093453,0.0,0.0,0.0,0.0,0.0,0.0
16,16,75.41085191219555,0.0,47.861241294049094,0.0,0.0,0.0,0.0,0.0,0.0
17,17,70.36101539254928,0.0,69.09821814602407,0.0,0.0,0.0,0.0,0.0,0.0
18,18,73.87894374213822,0.0,50.762486974973235,0.0,0.0,0.0,0.0,0.0,0.0
19,19,82.30585866680032,0.0,73.89103417379256,0.0,0.0,0.0,0.0,0.0,0.0
20,20,70.4306822996882,0.0,64.95474752473844,0.0,0.0,0.0,0.0,0.0,0.0
21,21,76.32577866983684,0.0,60.80069371004301,0.0,0.0,0.0,0.0,0.0,0.0
22,22,68.11707609147987,0.0,59.81728155189973,0.0,0.0,0.0,0.0,0.0,0.0
23,23,72.08300780943067,0.0,74.82815969196616,53.835429783137315,0.0,0.0,0.0,0.0,0.0
24,24,54.58243866580754,0.0,65.835667396764,50.90038698081969,0.0,0.0,0.0,0.0,0.0
25,25,64.57172172563347,0.0,63.76089228104294,61.99534864362559,0.0,0.0,0.0,0.0,0.0
26,26,56.99424589944241,0.0,60.95260708233939,48.33444446966266,0.0,0.0,0.0,0.0,0.0
27,27,76.71439359616956,0.0,39.570271591795475,50.508645462137736,0.0,0.0,0.0,0.0,0.0
