,time,385,407,1331,1354,363,408,1332,386,1377
0,0,90.15084592738944,71.16778079288348,92.30329015077741,0.0,0.0,0.0,0.0,0.0,0.0
1,1,90.55171099515918,70.81010379715158,92.02664422332022,0.0,0.0,0.0,0.0,0.0,0.0
2,2,90.94579806126295,70.45210637787709,91.73995351077856,0.0,0.0,0.0,0.0,0.0,0.0
3,3,91.33275980511665,70.09391389679548,91.44352541392225,0.0,0.0,0.0,0.0,0.0,0.0
4,4,91.71222662591448,69.7356369550061,91.13768833396163,0.0,0.0,0.0,0.0,0.0,0.0
5,5,92.08383521639544,69.37739933457614,90.82276237225341,0.0,0.0,0.0,0.0,0.0,0.0
6,6,92.4472197286569,69.0193101127799,90.4990684252144,0.0,0.0,0.0,0.0,0.0,0.0
7,7,92.80201228508821,68.66146961761179,90.16692767259897,0.0,0.0,0.0,0.0,0.0,0.0
8,8,93.147853375964,68.30398034459823,89.82667025292842,0.0,0.0,0.0,0.0,0.0,0.0
9,9,93.48437291851201,67.94694671515505,89.47862533581176,0.0,0.0,0.0,0.0,0.0,0.0
10,10,93.81122048291245,0.0,89.12312065417181,0.0,0.0,0.0,0.0,0.0,0.0
11,11,94.12802630963907,0.0,88.76049996368889,0.0,0.0,0.0,0.0,0.0,0.0
12,12,94.43443165227525,0.0,88.39107748321675,0.0,0.0,0.0,0.0,0.0,0.0
13,13,94.73011014851204,0.0,88.01517381596588,0.0,0.0,0.0,0.0,0.0,0.0
14,14,95.01470784488936,0.0,87.63313265345955,0.0,0.0,0.0,0.0,0.0,0.0
15,15,95.28788418883806,0.0,87.24525871590049,0.0,0.0,0.0,0.0,0.0,0.0
16,16,95.54932337506703,0.0,86.8518789565102,0.0,0.0,0.0,0.0,0.0,0.0
17,17,95.79869385012664,0.0,86.4533071091635,0.0,0.0,0.0,0.0,0.0,0.0
18,18,96.03571131577874,0.0,86.04984378530916,0.0,0.0,0.0,0.0,0.0,0.0
19,19,96.26006669728758,0.0,85.6418099423329,0.0,0.0,0.0,0.0,0.0,0.0
20,20,96.47146834398393,0.0,85.22949591402048,0.0,0.0,0.0,0.0,0.0,0.0
21,21,96.66965353925728,0.0,84.81319508268516,0.0,0.0,0.0,0.0,0.0,0.0
22,22,96.85437889102836,0.0,84.39320327829235,0.0,0.0,0.0,0.0,0.0,0.0
23,23,97.02537831077053,0.0,83.96980216905449,0.0,0.0,0.0,0.0,0.0,0.0
24,24,97.1824488939036,0.0,83.54326743794824,0.0,0.0,0.0,0.0,0.0,0.0
25,25,97.32535545597648,0.0,83.11387649447958,0.0,0.0,0.0,0.0,0.0,0.0
26,26,97.45392754832054,0.0,82.6818768748468,0.0,0.0,0.0,0.0,0.0,0.0
27,27,97.56798492840727,0.0,82.24754117237141,0.0,0.0,0.0,0.0,0.0,0.0
28,28,97.66737024168455,0.0,81.81111208726642,0.0,0.0,0.0,0.0,0.0,0.0
29,29,97.75194954044365,0.0,81.3728336794761,0.0,0.0,0.0,0.0,0.0,0.0
30,30,97.821601855409,0.0,80.93294346953458,0.0,0.0,0.0,0.0,0.0,0.0
31,31,97.87624127650194,0.0,80.49166504235097,0.0,0.0,0.0,0.0,0.0,0.0
32,32,97.91577374157089,0.0,80.04923027662012,0.0,0.0,0.0,0.0,0.0,0.0
33,33,97.94016256731439,0.0,79.6058425260743,0.0,0.0,0.0,0.0,0.0,0.0
34,34,97.94936329574675,0.0,79.16171343729604,0.0,0.0,0.0,0.0,0.0,0.0
35,35,97.94336736420152,0.0,78.71704808207254,0.0,0.0,0.0,0.0,0.0,0.0
36,36,97.92218035307178,0.0,78.27202410209091,0.0,0.0,0.0,0.0,0.0,0.0
37,37,97.88583286105272,0.0,77.82684111553102,0.0,0.0,0.0,0.0,0.0,0.0
38,38,97.83436952530542,0.0,77.3816647486859,0.0,0.0,0.0,0.0,0.0,0.0
39,39,97.76787063355357,0.0,76.93668207236297,0.0,0.0,0.0,0.0,0.0,0.0
40,40,97.68643011157567,0.0,76.49204026436692,0.0,0.0,0.0,0.0,0.0,0.0
41,41,97.5901661051166,0.0,76.04790776218402,0.0,0.0,0.0,0.0,0.0,0.0
42,42,97.47918819332074,0.0,75.60443382202149,0.0,0.0,0.0,0.0,0.0,0.0
43,43,97.35366195799455,0.0,75.16176220509578,0.0,0.0,0.0,0.0,0.0,0.0
44,44,97.21376511563577,0.0,74.72002491573194,0.0,0.0,0.0,0.0,0.0,0.0
45,45,97.0596656647462,0.0,74.27936147097445,0.0,0.0,0.0,0.0,0.0,0.0
46,46,96.8915964707236,0.0,73.8398872666303,0.0,0.0,0.0,0.0,0.0,0.0
47,47,96.70975819043734,0.0,73.40173151348199,0.0,0.0,0.0,0.0,0.0,0.0
48,48,96.51439364119305,0.0,72.9650059831305,0.0,0.0,0.0,0.0,0.0,0.0
49,49,96.3057655525877,0.0,72.52981181316123,0.0,0.0,0.0,0.0,0.0,0.0
50,50,96.08413476236647,0.0,72.09625767988999,0.0,0.0,0.0,0.0,0.0,0.0
51,51,95.8497911781595,0.0,71.66443000351889,0.0,0.0,0.0,0.0,0.0,0.0
52,52,95.60301110374654,0.0,71.23443446658685,0.0,0.0,0.0,0.0,0.0,0.0
53,53,95.34410880669697,0.0,70.80634914095806,0.0,0.0,0.0,0.0,0.0,0.0
54,54,95.07340423072328,0.0,70.38025411590525,0.0,0.0,0.0,0.0,0.0,0.0
55,55,94.79121212215873,0.0,69.95622568673363,0.0,0.0,0.0,0.0,0.0,0.0
56,56,94.49788228098129,0.0,69.5343419447665,0.0,0.0,0.0,0.0,0.0,0.0
57,57,94.1937273828016,0.0,69.1146608296194,0.0,0.0,0.0,0.0,0.0,0.0
58,58,93.87912380053417,0.0,68.69725875298707,0.0,0.0,0.0,0.0,0.0,0.0
59,59,93.55439954447513,0.0,68.28218170260999,0.0,0.0,0.0,0.0,0.0,0.0
