,time,292,1057,270,1035,1080,1058,293
0,0,79.66254944056975,87.38706711128148,0.0,0.0,0.0,0.0,0.0
1,1,80.01613416232473,87.85564439070163,0.0,0.0,0.0,0.0,0.0
2,2,80.36608945549418,88.32068356997421,0.0,0.0,0.0,0.0,0.0
3,3,80.7121822840612,88.78186638450175,0.0,0.0,0.0,0.0,0.0
4,4,81.05417587429824,89.23885845246637,0.0,0.0,0.0,0.0,0.0
5,5,81.39183741610513,89.691299872567,0.0,0.0,0.0,0.0,0.0
6,6,81.72493856002701,90.13884147210248,0.0,0.0,0.0,0.0,0.0
7,7,82.05322531647836,90.58112733977227,0.0,0.0,0.0,0.0,0.0
8,8,82.37647133270714,91.01778570276073,0.0,0.0,0.0,0.0,0.0
9,9,82.69442492981311,91.44843830488266,0.0,0.0,0.0,0.0,0.0
10,10,83.00684759329663,91.87271995138263,0.0,0.0,0.0,0.0,0.0
11,11,83.31348326478275,92.29023138314635,0.0,0.0,0.0,0.0,0.0
12,12,83.61409775495198,92.7005969813104,0.0,0.0,0.0,0.0,0.0
13,13,83.90843187250343,93.10341726571134,0.0,0.0,0.0,0.0,0.0
14,14,84.19624921018178,93.4983181990014,0.0,0.0,0.0,0.0,0.0
15,15,84.47730483606651,93.88487282120414,0.0,0.0,0.0,0.0,0.0
16,16,84.75134533129878,94.26272091486254,0.0,0.0,0.0,0.0,0.0
17,17,85.01813349837157,94.63144011308457,0.0,0.0,0.0,0.0,0.0
18,18,85.27743268412657,94.99064665962153,0.0,0.0,0.0,0.0,0.0
19,19,85.52900711416675,95.33993562387529,0.0,0.0,0.0,0.0,0.0
20,20,85.77260551638715,95.67893281457955,0.0,0.0,0.0,0.0,0.0
21,21,86.00801145079389,96.00724418297017,0.0,0.0,0.0,0.0,0.0
22,22,86.23500233667457,96.32448742511181,0.0,0.0,0.0,0.0,0.0
23,23,86.45334108269645,96.6302824371387,0.0,0.0,0.0,0.0,0.0
24,24,86.66282724080527,96.92426272026313,0.0,0.0,0.0,0.0,0.0
25,25,86.8632381746559,97.20607644020743,0.0,0.0,0.0,0.0,0.0
26,26,87.0543718853949,97.47536587046277,0.0,0.0,0.0,0.0,0.0
27,27,87.23603911108854,97.73178954125474,0.0,0.0,0.0,0.0,0.0
28,28,87.4080464867776,97.97501236377855,0.0,0.0,0.0,0.0,0.0
29,29,87.57021414599288,98.20471733055474,0.0,0.0,0.0,0.0,0.0
30,30,87.7223674791652,98.4206175088489,0.0,0.0,0.0,0.0,0.0
31,31,87.86434623584647,98.6224019441165,0.0,0.0,0.0,0.0,0.0
32,32,87.99599618217371,98.80981334152557,0.0,0.0,0.0,0.0,0.0
33,33,88.11716057670279,98.98259391086079,0.0,0.0,0.0,0.0,0.0
34,34,88.22772457991321,99.14049695526015,0.0,0.0,0.0,0.0,0.0
35,35,88.32756276651963,99.28330988893357,0.0,0.0,0.0,0.0,0.0
36,36,88.41655692463905,99.41083266287504,0.0,0.0,0.0,0.0,0.0
37,37,88.49460519791164,99.52287827401996,0.0,0.0,0.0,0.0,0.0
38,38,88.56162238451363,99.61929580478241,0.0,0.0,0.0,0.0,0.0
39,39,88.61754019057202,99.69993717771003,0.0,0.0,0.0,0.0,0.0
40,40,88.66228063767927,99.76469137112511,0.0,0.0,0.0,0.0,0.0
41,41,88.69580975797031,99.81346224998146,0.0,0.0,0.0,0.0,0.0
42,42,88.71807522909678,99.84619148048755,0.0,0.0,0.0,0.0,0.0
43,43,88.72905112144446,99.8628134600093,0.0,0.0,0.0,0.0,0.0
44,44,88.7287379980518,99.8633234241681,0.0,0.0,0.0,0.0,0.0
45,45,88.71712715392331,99.84769822122459,0.0,0.0,0.0,0.0,0.0
46,46,88.69422745715264,99.8159756376426,0.0,0.0,0.0,0.0,0.0
47,47,88.6600742528122,99.76819766256718,0.0,0.0,0.0,0.0,0.0
48,48,88.61470246808058,99.7044330063821,0.0,0.0,0.0,0.0,0.0
49,49,88.55816439857132,99.62477686314182,0.0,0.0,0.0,0.0,0.0
50,50,88.49052065408975,99.52933932650758,0.0,0.0,0.0,0.0,0.0
51,51,88.41185779836792,99.4182675643835,0.0,0.0,0.0,0.0,0.0
52,52,88.32225257072957,99.2917003985772,0.0,0.0,0.0,0.0,0.0
53,53,88.22180726783279,99.14983523100109,0.0,0.0,0.0,0.0,0.0
54,54,88.11064935345809,98.9928601399624,0.0,0.0,0.0,0.0,0.0
55,55,87.98887820579479,98.82098701728053,0.0,0.0,0.0,0.0,0.0
56,56,87.85664431347371,98.63448402788262,0.0,0.0,0.0,0.0,0.0
57,57,87.71408716148842,98.43357506605955,0.0,0.0,0.0,0.0,0.0
58,58,87.56136136026575,98.21853892780179,0.0,0.0,0.0,0.0,0.0
59,59,87.39863620387202,97.98967500610765,67.71702440621597,0.0,0.0,0.0,0.0
60,60,87.22606925531834,97.74726976880217,68.11746547295968,0.0,0.0,0.0,0.0
61,61,87.0438580370067,97.49165061562653,68.51990694062275,0.0,0.0,0.0,0.0
62,62,86.85218754506074,97.2231413614532,68.92428150744296,0.0,0.0,0.0,0.0
63,63,86.65124733978209,96.942093843472,69.33051851428165,0.0,0.0,0.0,0.0
64,64,86.44125668298965,96.64883349251103,69.73855491253437,0.0,0.0,0.0,0.0
65,65,86.22241286955735,96.34374396825211,70.14830227955676,0.0,0.0,0.0,0.0
66,66,85.99493353031384,96.02719140870907,70.55969069197408,0.0,0.0,0.0,0.0
67,67,85.75904748205589,95.6995451879115,70.97262988918753,0.0,0.0,0.0,0.0
68,68,85.51496920100644,95.36117720772504,71.38703136137745,0.0,0.0,0.0,0.0
69,69,85.26294851096496,95.01249198332098,71.80279688212673,0.0,0.0,0.0,0.0
70,70,85.0032035582341,94.65387390877797,72.21982994035545,0.0,0.0,0.0,0.0
71,71,84.73597857874461,94.28570755102088,72.63802400802254,0.0,0.0,0.0,0.0
72,72,84.46151846837482,93.90839705409358,73.05726818119365,0.0,0.0,0.0,0.0
73,73,84.1800523312948,93.52233488711482,73.47745323473215,0.0,0.0,0.0,0.0
74,74,83.89184168046036,93.12792135939674,73.89844707452004,0.0,0.0,0.0,0.0
75,75,83.59711548153031,92.72555385605538,74.32013753954908,0.0,0.0,0.0,0.0
76,76,83.29613403710994,92.31561660275385,74.7423766173231,0.0,0.0,0.0,0.0
77,77,82.98914058803652,91.89849977787716,75.1650363683466,0.0,0.0,0.0,0.0
78,78,82.6763771324281,91.47459859542833,75.58796484987843,0.0,0.0,0.0,0.0
79,79,82.35809186034389,91.04429356611703,76.01102436256983,0.0,0.0,0.0,0.0
80,80,82.034523296919,90.60795984749444,76.43404601711741,0.0,0.0,0.0,0.0
81,81,81.70592311305509,90.16597609433573,76.8568752055703,0.0,0.0,0.0,0.0
82,82,81.3725327015866,89.7187144980243,77.2793387277239,0.0,0.0,0.0,0.0
83,83,81.03458325801569,89.26652234569292,77.701264596911,0.0,0.0,0.0,0.0
84,84,80.692318082149,88.80976745969753,78.12246851020896,0.0,0.0,0.0,0.0
85,85,80.34596974572509,88.3487921967134,78.54276046385927,0.0,0.0,0.0,0.0
86,86,79.99577476862359,87.88394046821767,78.96195890981171,0.0,0.0,0.0,0.0
87,87,79.64194429878617,87.41553970155539,79.3798485414449,0.0,0.0,0.0,0.0
88,88,79.28471492505027,86.94390971744414,79.79622944680357,0.0,0.0,0.0,0.0
