,time,153,941,963,154,986,964,132,942,155
0,0,73.00291605170698,79.31663670060097,73.70000930462618,0.0,0.0,0.0,0.0,0.0,0.0
1,1,72.56349511969266,79.5153251783741,73.24774334523443,0.0,0.0,0.0,0.0,0.0,0.0
2,2,72.12585634086679,79.70732195988349,72.79747114821134,0.0,0.0,0.0,0.0,0.0,0.0
3,3,71.69009479955979,79.89247199564586,72.34928657026234,0.0,0.0,0.0,0.0,0.0,0.0
4,4,71.25630122305773,80.07062228885877,71.9032789774504,0.0,0.0,0.0,0.0,0.0,0.0
5,5,70.82455068663597,80.24162211356979,71.45953335950269,0.0,0.0,0.0,0.0,0.0,0.0
6,6,70.39492593373869,80.40531588781631,71.01811898181968,0.0,0.0,0.0,0.0,0.0,0.0
7,7,69.96750009620531,80.56155800194153,70.57911284942476,0.0,0.0,0.0,0.0,0.0,0.0
8,8,69.54233713777333,80.71022059203882,70.1425767433519,0.0,0.0,0.0,0.0,0.0,0.0
9,9,69.11950857286124,80.85115687899099,69.7085745903532,0.0,0.0,0.0,0.0,0.0,0.0
10,10,68.69906608303687,80.9842531641376,69.27716676541287,0.0,0.0,0.0,0.0,0.0,0.0
11,11,68.28106908911346,81.10938466918338,68.84841019632437,0.0,0.0,0.0,0.0,0.0,0.0
12,12,67.86556848865924,81.22643048974368,68.42234250731808,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0.0,81.33528883085329,67.99901988685427,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,81.43584724559905,67.57848473064138,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0.0,81.52802039312256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,0.0,81.61172775366316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,81.6868710168948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,81.75339478649312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.0,81.81122617364247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.0,81.86031281802266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,81.90060021971698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,81.93206230635404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,81.95465579277392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,81.96837362078897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0.0,81.97318396328794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,0.0,81.96909895374827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,0.0,81.9561059860088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,0.0,81.93423641621139,0.0,67.88927013171444,0.0,0.0,0.0,0.0,0.0
29,29,0.0,81.9034968325684,0.0,68.28397255667143,0.0,0.0,0.0,0.0,0.0
30,30,0.0,81.86392243914301,0.0,68.6804181513604,0.0,0.0,0.0,0.0,0.0
31,31,0.0,81.81555408514824,0.0,69.07853318642633,0.0,0.0,0.0,0.0,0.0
32,32,0.0,81.75843819085298,0.0,69.47824600588908,0.0,0.0,0.0,0.0,0.0
33,33,0.0,81.69262666488181,0.0,69.87947616756495,0.0,0.0,0.0,0.0,0.0
34,34,0.0,81.61819195300276,0.0,70.28213966307062,0.0,0.0,0.0,0.0,0.0
35,35,0.0,81.53518901246618,0.0,70.6861488402893,0.0,0.0,0.0,0.0,0.0
36,36,0.0,81.44370819126574,0.0,71.09141232704086,0.0,0.0,0.0,0.0,0.0
37,37,0.0,81.34383716442778,0.0,71.49782914716252,0.0,0.0,0.0,0.0,0.0
38,38,0.0,81.23566836646148,0.0,71.90530006612836,0.0,0.0,0.0,0.0,0.0
39,39,0.0,81.11929883427881,0.0,72.31371596437859,0.0,0.0,0.0,0.0,0.0
40,40,0.0,80.99484495423746,0.0,72.72296344092668,0.0,0.0,0.0,0.0,0.0
41,41,0.0,80.8624123297536,0.0,73.13293081965477,0.0,0.0,0.0,0.0,0.0
42,42,0.0,80.72213286220962,0.0,73.54348998458846,0.0,0.0,0.0,0.0,0.0
43,43,0.0,80.57411990399594,0.0,73.95450806091532,0.0,0.0,0.0,0.0,0.0
44,44,0.0,80.41851990993491,0.0,74.36586620262366,0.0,0.0,0.0,0.0,0.0
45,45,0.0,80.25546042648845,0.0,74.77740974451618,0.0,0.0,0.0,0.0,0.0
46,46,0.0,80.08508676445602,0.0,75.18900422331511,0.0,0.0,0.0,0.0,0.0
47,47,0.0,79.90755422408584,0.0,75.60049776055003,0.0,0.0,0.0,0.0,0.0
48,48,0.0,79.7230060392895,0.0,76.01172031625713,0.0,0.0,0.0,0.0,0.0
49,49,0.0,79.53160224365881,0.0,76.42252939640358,0.0,0.0,0.0,0.0,0.0
50,50,0.0,79.33350480188575,0.0,76.83274471884017,0.0,0.0,0.0,0.0,0.0
51,51,0.0,79.12887026722808,0.0,77.24219386438922,0.0,0.0,0.0,0.0,0.0
52,52,0.0,78.91787805609482,0.0,77.65069927101877,0.0,0.0,0.0,0.0,0.0
53,53,0.0,78.70068742367486,0.0,78.05807130214524,0.0,0.0,0.0,0.0,0.0
54,54,0.0,78.4774728184801,0.0,78.46412187903383,0.0,0.0,0.0,0.0,0.0
55,55,0.0,78.24840239881148,0.0,78.86865071512356,0.0,0.0,0.0,0.0,0.0
56,56,0.0,78.01365877322104,0.0,79.27145925694718,0.0,0.0,0.0,0.0,0.0
57,57,0.0,77.77341775284314,0.0,79.67232222456713,0.0,0.0,0.0,0.0,0.0
58,58,0.0,77.52786201591118,0.0,80.0710375686939,0.0,0.0,0.0,0.0,0.0
59,59,0.0,77.27715354522553,0.0,80.46738382612901,0.0,0.0,0.0,0.0,0.0
60,60,0.0,77.02148803239244,0.0,80.86112689536644,0.0,0.0,0.0,0.0,0.0
61,61,0.0,76.76104000392877,0.0,81.25204226546576,0.0,0.0,0.0,0.0,0.0
62,62,0.0,76.49598991504686,0.0,81.63988553716958,67.80008897220766,0.0,0.0,0.0,0.0
63,63,0.0,76.22651054091371,0.0,82.0244147534705,68.01808291651646,0.0,0.0,0.0,0.0
64,64,0.0,75.95278671205996,0.0,82.40539088575775,68.23308110354603,0.0,0.0,0.0,0.0
65,65,0.0,75.67498865090157,0.0,82.78254718134833,68.444954739607,0.0,0.0,0.0,0.0
66,66,0.0,75.39330459477641,0.0,83.15564326796007,68.65360604626068,0.0,0.0,0.0,0.0
67,67,0.0,75.10790146218868,0.0,83.52440331542525,68.8589154376524,0.0,0.0,0.0,0.0
68,68,0.0,74.81895089207146,0.0,83.88857081139123,69.06076264114097,0.0,0.0,0.0,0.0
69,69,0.0,74.52662887263229,0.0,84.24787755183709,69.25904314539315,0.0,0.0,0.0,0.0
70,70,0.0,74.23110284896441,0.0,84.60205165743592,69.4536413518141,0.0,0.0,0.0,0.0
71,71,0.0,73.93254428265352,0.0,84.95081782055782,69.6444413843099,0.0,0.0,0.0,0.0
72,72,0.0,73.63111597411164,0.0,85.29388930345812,69.83133273177873,0.0,0.0,0.0,0.0
73,73,0.0,73.32698443859735,0.0,85.63100955749105,70.01420492744062,0.0,0.0,0.0,0.0
74,74,0.0,73.0203074453663,0.0,85.96187825141037,70.19294205181787,0.0,0.0,0.0,0.0
75,75,0.0,72.71124019926846,0.0,86.28622611991922,70.3674395783583,0.0,0.0,0.0,0.0
76,76,0.0,72.39994718094762,0.0,86.60377395627691,70.5375877972538,0.0,0.0,0.0,0.0
