,time,382,404,1373,1351,427,405,1396,1374,383
0,0,79.45936569936025,76.45487767784294,86.97824051519584,0.0,0.0,0.0,0.0,0.0,0.0
1,1,79.72104880287068,75.99309153713298,87.30845591324794,0.0,0.0,0.0,0.0,0.0,0.0
2,2,79.97710473610782,75.53262949511416,87.63162294661929,0.0,0.0,0.0,0.0,0.0,0.0
3,3,80.2273497223222,75.07362120256509,87.94746018728412,0.0,0.0,0.0,0.0,0.0,0.0
4,4,80.47158543745954,74.61618452175435,88.2556678441778,0.0,0.0,0.0,0.0,0.0,0.0
5,5,80.70961359722197,74.1604447738966,88.55596319251896,0.0,0.0,0.0,0.0,0.0,0.0
6,6,80.94124364749204,73.70649704344814,88.84804571151182,0.0,0.0,0.0,0.0,0.0,0.0
7,7,81.16627825220594,73.25445049922075,89.13165109496208,0.0,0.0,0.0,0.0,0.0,0.0
8,8,81.38454344750845,72.8044092997705,89.40647107781939,0.0,0.0,0.0,0.0,0.0,0.0
9,9,81.59584410112582,72.35646081527642,89.67224387263444,0.0,0.0,0.0,0.0,0.0,0.0
10,10,81.80000159881821,71.91069410898605,89.92869165710067,0.0,0.0,0.0,0.0,0.0,0.0
11,11,81.99683920820499,71.46718226990167,90.17553898329538,0.0,0.0,0.0,0.0,0.0,0.0
12,12,82.18618233602268,71.02601190476672,90.41253183445794,0.0,0.0,0.0,0.0,0.0,0.0
13,13,82.36785107892524,70.58724820505851,90.63941057191306,0.0,0.0,0.0,0.0,0.0,0.0
14,14,82.54169903458103,70.1509584853005,90.85593830799192,0.0,0.0,0.0,0.0,0.0,0.0
15,15,82.7075597905168,69.71720641252526,91.06185469611675,0.0,0.0,0.0,0.0,0.0,0.0
16,16,82.86527011064774,69.28605211145701,91.25694200890958,0.0,0.0,0.0,0.0,0.0,0.0
17,17,83.01469369511892,68.85754149312415,91.44096939896787,0.0,0.0,0.0,0.0,0.0,0.0
18,18,83.15569041476641,68.43172830861964,91.61373110766101,0.0,0.0,0.0,0.0,0.0,0.0
19,19,83.28811640422865,68.00865255538648,91.77502811913858,0.0,0.0,0.0,0.0,0.0,0.0
20,20,83.41183998841333,67.58836718179244,91.92466856978587,0.0,0.0,0.0,0.0,0.0,0.0
21,21,83.5267578918074,67.17090132128979,92.06247778208099,0.0,0.0,0.0,0.0,0.0,0.0
22,22,83.63274807516379,0.0,92.18828913306447,0.0,0.0,0.0,0.0,0.0,0.0
23,23,83.72970946076259,0.0,92.30194441388109,0.0,0.0,0.0,0.0,0.0,0.0
24,24,83.81753836271584,0.0,92.40331358282508,0.0,0.0,0.0,0.0,0.0,0.0
25,25,83.89615257964462,0.0,92.49227584391843,0.0,0.0,0.0,0.0,0.0,0.0
26,26,83.96546767477389,0.0,92.56871991450859,0.0,0.0,0.0,0.0,0.0,0.0
27,27,84.02542915033104,0.0,92.63254427598773,0.0,0.0,0.0,0.0,0.0,0.0
28,28,84.07595651209365,0.0,92.68366716831702,0.0,0.0,0.0,0.0,0.0,0.0
29,29,84.11701556269934,0.0,92.72204638399297,0.0,0.0,0.0,0.0,0.0,0.0
30,30,84.14855432783665,0.0,92.74761109029559,0.0,0.0,0.0,0.0,0.0,0.0
