,time,419,1433,1478,397,1456,442,1434,420,1479
0,0,99.22270287603769,88.62846444135364,68.97349027415004,0.0,0.0,0.0,0.0,0.0,0.0
1,1,99.25847154135548,88.3630306752261,69.2523173556695,0.0,0.0,0.0,0.0,0.0,0.0
2,2,99.27843754692456,88.08888168161675,69.52916665580274,0.0,0.0,0.0,0.0,0.0,0.0
3,3,99.2825594050989,87.80629054243434,69.80390813044193,0.0,0.0,0.0,0.0,0.0,0.0
4,4,99.27084436734408,87.51554892735773,70.07642072577035,0.0,0.0,0.0,0.0,0.0,0.0
5,5,99.24330364266908,87.21691421403784,70.34657037287039,0.0,0.0,0.0,0.0,0.0,0.0
6,6,99.19998593163837,86.91067893239712,70.61422094981103,0.0,0.0,0.0,0.0,0.0,0.0
7,7,99.14094372264329,86.59711802823085,70.87924005856236,0.0,0.0,0.0,0.0,0.0,0.0
8,8,99.06626666409996,86.27652292278977,71.14149931033167,0.0,0.0,0.0,0.0,0.0,0.0
9,9,98.97604779643325,85.94917532254625,71.40085143892594,0.0,0.0,0.0,0.0,0.0,0.0
10,10,98.87043894093131,85.61534717363794,71.65715892881992,0.0,0.0,0.0,0.0,0.0,0.0
11,11,98.74956123774494,85.27534196623425,71.9102886462643,0.0,0.0,0.0,0.0,0.0,0.0
12,12,98.6136047777395,84.92941930957208,72.16008846826847,0.0,0.0,0.0,0.0,0.0,0.0
13,13,98.46276132772111,84.57786945079073,72.40642847310393,0.0,0.0,0.0,0.0,0.0,0.0
14,14,98.29721301709779,84.22097132811878,72.64915387264158,0.0,0.0,0.0,0.0,0.0,0.0
15,15,98.11721975046116,83.85900061988954,72.88812658215896,0.0,0.0,0.0,0.0,0.0,0.0
16,16,97.92299758319365,83.49222156103129,73.12320770239984,0.0,0.0,0.0,0.0,0.0,0.0
17,17,97.71482771432359,83.12091060468858,73.35423929153141,0.0,0.0,0.0,0.0,0.0,0.0
18,18,97.49296831965995,82.74533215245715,73.58108698496898,0.0,0.0,0.0,0.0,0.0,0.0
19,19,97.25772988964343,82.36575411650935,73.80360374610319,0.0,0.0,0.0,0.0,0.0,0.0
20,20,97.00939866739952,81.98241682115228,74.02164207760244,0.0,0.0,0.0,0.0,0.0,0.0
21,21,96.74830061060271,81.59558686559546,74.2350666883973,0.0,0.0,0.0,0.0,0.0,0.0
22,22,96.47476812070221,81.20551056903562,74.44372350585948,0.0,0.0,0.0,0.0,0.0,0.0
23,23,96.18912881396727,80.81242197124455,74.64747728850503,0.0,0.0,0.0,0.0,0.0,0.0
24,24,95.89173648602117,80.41657246657184,74.8461804675794,0.0,0.0,0.0,0.0,0.0,0.0
25,25,95.58295938310758,80.01817867531905,75.0397049575237,0.0,0.0,0.0,0.0,0.0,0.0
26,26,95.26314820889044,79.61748142944865,75.22790421812262,0.0,0.0,0.0,0.0,0.0,0.0
27,27,94.93267708962733,79.21468719515286,75.41064524090272,0.0,0.0,0.0,0.0,0.0,0.0
28,28,94.59192184987401,78.81002592491625,75.58778954847634,0.0,0.0,0.0,0.0,0.0,0.0
29,29,94.24126942989922,78.40370065467091,75.75921277224569,67.64372388846564,0.0,0.0,0.0,0.0,0.0
30,30,93.8810868015994,77.99590929182108,75.92477890574966,68.0004018205562,0.0,0.0,0.0,0.0,0.0
31,31,93.51178073102622,77.58685826741315,76.08437307384412,68.35764845960699,0.0,0.0,0.0,0.0,0.0
32,32,93.13371673380055,77.17672795405109,76.23785587268,68.71537925930912,0.0,0.0,0.0,0.0,0.0
33,33,92.74728851194143,76.76571391983096,76.38512267797908,69.07348516156327,0.0,0.0,0.0,0.0,0.0
34,34,92.35288709817574,76.35399935307339,76.52605120705931,69.43187525869291,0.0,0.0,0.0,0.0,0.0
35,35,91.95090030902816,75.94174232794234,76.6605346950335,69.79043360320554,0.0,0.0,0.0,0.0,0.0
36,36,91.54170270687776,75.5291222700621,76.78845548398716,70.14906277264967,0.0,0.0,0.0,0.0,0.0
37,37,91.12567442059863,75.11629368012478,76.90971856549042,70.50764543243461,0.0,0.0,0.0,0.0,0.0
38,38,90.70319091764212,74.7034189377921,77.02421833985152,70.86606056857774,0.0,0.0,0.0,0.0,0.0
39,39,90.27463184363778,74.29064255327484,77.13186560158078,71.22418922389349,0.0,0.0,0.0,0.0,0.0
40,40,89.84036184430829,73.87810431806605,77.23256753439505,71.58190894146706,0.0,0.0,0.0,0.0,0.0
41,41,89.40073064778957,73.46595775356796,77.32624134539225,71.93908786632016,0.0,0.0,0.0,0.0,0.0
42,42,88.9561091568285,73.05432061930804,77.41280766752747,72.29559631913544,0.0,0.0,0.0,0.0,0.0
43,43,88.5068432887775,72.6433246604358,77.49219750436377,72.65128908567114,0.0,0.0,0.0,0.0,0.0
44,44,88.05327222969896,72.23309093111902,77.56433873756987,73.00602905357887,0.0,0.0,0.0,0.0,0.0
45,45,87.59573691456559,71.82373606344059,77.62916301824303,73.35966945466757,0.0,0.0,0.0,0.0,0.0
46,46,87.13455347452498,71.41537813306567,77.68662645030118,73.71205975367607,0.0,0.0,0.0,0.0,0.0
47,47,86.670056647746,71.0081134838759,77.73667549213499,74.0630394293106,0.0,0.0,0.0,0.0,0.0
48,48,86.20254757915329,70.60204611147999,77.77926069045003,74.41246286987221,0.0,0.0,0.0,0.0,0.0
49,49,85.73233682481523,70.19727588303188,77.81435052252336,74.76014947612249,0.0,0.0,0.0,0.0,0.0
50,50,85.2597102816913,69.79389308194207,77.84191774886835,75.10594632553547,0.0,0.0,0.0,0.0,0.0
51,51,84.78496269317121,69.39197880768967,77.8619325667885,75.44968440597349,0.0,0.0,0.0,0.0,0.0
52,52,84.30837243453455,68.99162700366776,77.87437641871848,75.79117155150816,0.0,0.0,0.0,0.0,0.0
53,53,83.83020991179824,68.59290616841196,77.87924204027684,76.13025090021858,0.0,0.0,0.0,0.0,0.0
54,54,83.35072174621277,68.19589239091157,77.87651969833468,76.46672298556673,0.0,0.0,0.0,0.0,0.0
55,55,82.87017849765594,67.80065313601905,77.86621787410184,76.80041109165501,0.0,0.0,0.0,0.0,0.0
56,56,82.38880343651189,0.0,77.84834258224721,77.13112194316436,0.0,0.0,0.0,0.0,0.0
57,57,81.90684343776798,0.0,77.82291113578647,77.45867249742692,0.0,0.0,0.0,0.0,0.0
58,58,81.42452201261062,0.0,77.78994522527084,77.7828493766942,0.0,0.0,0.0,0.0,0.0
59,59,80.94204770135622,0.0,77.74947088392754,78.10347023481188,0.0,0.0,0.0,0.0,0.0
60,60,80.45963664610953,0.0,77.70152530743094,78.4203294010291,0.0,0.0,0.0,0.0,0.0
61,61,79.97748270327891,0.0,77.64614990683344,78.73322534952183,0.0,0.0,0.0,0.0,0.0
62,62,79.49577276711506,0.0,77.58339024251333,79.04194693249431,0.0,0.0,0.0,0.0,0.0
63,63,79.01470104428702,0.0,77.51330960780116,79.34629473091012,0.0,0.0,0.0,0.0,0.0
64,64,78.53442623506764,0.0,77.43595474572409,79.6460529407314,0.0,0.0,0.0,0.0,0.0
65,65,78.05512874084748,0.0,77.35140355879744,79.94101080139319,0.0,0.0,0.0,0.0,0.0
66,66,77.5769543552187,0.0,77.25971723119083,80.23095574670177,0.0,0.0,0.0,0.0,0.0
67,67,77.10006335347252,0.0,77.16098095456552,80.5156883446313,67.59623783920637,0.0,0.0,0.0,0.0
68,68,76.62458931832327,0.0,77.05526981865918,80.79497851863509,68.02111127944619,0.0,0.0,0.0,0.0
69,69,76.15068004287976,0.0,76.94268251044738,81.06861703019493,68.44893165218609,0.0,0.0,0.0,0.0
70,70,75.67845737032496,0.0,76.82330064676489,81.33640144098527,68.87967136256435,0.0,0.0,0.0,0.0
71,71,75.20803782485706,0.0,76.69722905984798,81.59810633049236,69.3132786913653,0.0,0.0,0.0,0.0
72,72,74.7395517716204,0.0,76.56456868437797,81.85352850563082,69.74972056518199,0.0,0.0,0.0,0.0
73,73,74.27309220067544,0.0,76.42542316018603,82.10244967586326,70.18894465099225,0.0,0.0,0.0,0.0
74,74,73.80876635105311,0.0,76.27990529849757,82.34467478391774,70.63089522171559,0.0,0.0,0.0,0.0
75,75,73.34667631619986,0.0,76.12813021785881,82.5799942081395,71.07551304809114,0.0,0.0,0.0,0.0
76,76,72.88690710124712,0.0,75.97021518649782,82.80819917856148,71.52274691562218,0.0,0.0,0.0,0.0
77,77,72.4295513557207,0.0,75.80628599506431,83.02908990210588,71.9725248157994,0.0,0.0,0.0,0.0
78,78,71.97467342105357,0.0,75.63646365152218,83.24246818837051,72.42477658190937,0.0,0.0,0.0,0.0
79,79,71.52236325493074,0.0,75.46087730815958,83.44815356736116,72.87942207280837,0.0,0.0,0.0,0.0
80,80,71.0726773045235,0.0,75.27965751177634,83.645944207775,73.33638290458912,0.0,0.0,0.0,0.0
81,81,70.62568579146033,0.0,75.09293604163972,83.83566456817105,73.79557652542584,0.0,0.0,0.0,0.0
82,82,70.1814493522013,0.0,74.90085212486483,84.01713414882146,74.25690357150391,0.0,0.0,0.0,0.0
83,83,69.74001950977046,0.0,74.70353942823098,84.19017565706127,74.72026600414698,0.0,0.0,0.0,0.0
84,84,69.3014500462154,0.0,74.50113868217645,84.35463147186947,75.18556737848603,0.0,0.0,0.0,0.0
85,85,68.86578598282316,0.0,74.29378480990964,84.51033177219702,75.65268060659007,0.0,0.0,0.0,0.0
86,86,68.43306402589694,0.0,74.0816318971262,84.65713523525208,76.12150549307489,0.0,0.0,0.0,0.0
87,87,68.00333401800327,0.0,73.86480910101743,84.79488887244382,76.59191730718834,0.0,0.0,0.0,0.0
88,88,67.57661652481721,0.0,73.64347053558218,84.9234526054274,77.06377219808823,0.0,0.0,0.0,0.0
89,89,0.0,0.0,73.4177576364688,85.04270786805469,77.53694040466705,0.0,0.0,0.0,0.0
90,90,0.0,0.0,73.18781156799896,85.15251686648801,78.01127280621884,0.0,0.0,0.0,0.0
91,91,0.0,0.0,72.9537791384026,85.25278030629774,78.48662797454286,0.0,0.0,0.0,0.0
92,92,0.0,0.0,72.71580646622004,85.34338833617731,78.96283040112041,0.0,0.0,0.0,0.0
93,93,0.0,0.0,72.47403885217923,85.42425373177794,79.4397260557156,0.0,0.0,0.0,0.0
94,94,0.0,0.0,72.2286147282189,85.49528731517108,79.91713319806753,0.0,0.0,0.0,0.0
95,95,0.0,0.0,71.97968340717794,85.556414684553,80.394870368753,0.0,0.0,0.0,0.0
96,96,0.0,0.0,71.7273811778875,85.60756809814518,80.872741869923,0.0,0.0,0.0,0.0
97,97,0.0,0.0,71.47185483026693,85.64870327863235,81.3505522870506,0.0,0.0,0.0,0.0
98,98,0.0,0.0,71.21324385065547,85.67976622665239,81.82809163965177,0.0,0.0,0.0,0.0
99,99,0.0,0.0,70.9516919761296,85.70072663503596,82.30514257495379,0.0,0.0,0.0,0.0
100,100,0.0,0.0,70.68732985840846,85.71156965935106,82.78148031536357,0.0,0.0,0.0,0.0
