,time,536,1527,581,1505,559,1550,1528,582
0,0,68.83986269632418,70.2529487212585,0.0,0.0,0.0,0.0,0.0,0.0
1,1,47.01120238696549,71.91261386915366,0.0,0.0,0.0,0.0,0.0,0.0
2,2,60.191168063547394,71.94125597710004,0.0,0.0,0.0,0.0,0.0,0.0
3,3,60.717175525496145,69.76206958926004,0.0,0.0,0.0,0.0,0.0,0.0
4,4,56.045933982019484,81.07142901312703,0.0,0.0,0.0,0.0,0.0,0.0
5,5,47.77513827413138,77.12945618175438,0.0,0.0,0.0,0.0,0.0,0.0
6,6,60.651039055079764,61.953171779485736,0.0,0.0,0.0,0.0,0.0,0.0
7,7,53.18305815315295,69.49905306217781,55.497330533366664,0.0,0.0,0.0,0.0,0.0
8,8,55.13081611189328,67.01057322400933,56.36129856716765,0.0,0.0,0.0,0.0,0.0
9,9,63.22846755576402,78.5684585872046,66.42747079587438,0.0,0.0,0.0,0.0,0.0
10,10,67.11156451270828,62.35180586480702,66.43290934527454,0.0,0.0,0.0,0.0,0.0
11,11,50.12160830469058,80.39786842503275,54.4636216017377,0.0,0.0,0.0,0.0,0.0
12,12,55.52139390232506,78.45052435871736,64.56074630405874,0.0,0.0,0.0,0.0,0.0
13,13,70.68812597491225,82.95994090986062,58.439957288839025,0.0,0.0,0.0,0.0,0.0
14,14,63.681315850050936,74.38919072982918,57.18844696748855,0.0,0.0,0.0,0.0,0.0
15,15,64.7414151458552,61.66510128095864,59.22559886146277,0.0,0.0,0.0,0.0,0.0
16,16,53.85762248301216,73.22655793828623,61.16719323734495,0.0,0.0,0.0,0.0,0.0
17,17,54.91753122589361,73.92377339694562,52.340785023388676,0.0,0.0,0.0,0.0,0.0
18,18,49.549008385069136,66.10388008736082,53.72398640386179,0.0,0.0,0.0,0.0,0.0
19,19,60.51773284431509,92.02789450252013,67.36874827081613,0.0,0.0,0.0,0.0,0.0
20,20,56.69616610212153,50.41219133885233,69.13062447704826,0.0,0.0,0.0,0.0,0.0
21,21,60.73929139414547,73.48119551797322,51.95901106163059,0.0,0.0,0.0,0.0,0.0
22,22,57.923533350717896,77.41625246539118,56.68970512848045,0.0,0.0,0.0,0.0,0.0
23,23,49.01316683020044,75.11892784641299,56.26477754630879,0.0,0.0,0.0,0.0,0.0
24,24,61.45105923263826,76.0101178956537,49.378214915049035,0.0,0.0,0.0,0.0,0.0
25,25,42.38595325841126,71.02423653877669,64.19361728594669,0.0,0.0,0.0,0.0,0.0
26,26,52.78235778861341,81.23644058406587,54.85215775787118,0.0,0.0,0.0,0.0,0.0
27,27,54.250582238329855,78.56931318924937,59.64245490652907,0.0,0.0,0.0,0.0,0.0
28,28,55.97853512462852,86.01245370165637,59.62308380592656,0.0,0.0,0.0,0.0,0.0
29,29,36.975386646752526,60.96242150409765,51.62952215463482,0.0,0.0,0.0,0.0,0.0
30,30,57.449917148235805,74.33369305391048,58.025780991267574,0.0,0.0,0.0,0.0,0.0
31,31,52.841829495334565,66.68877091351827,57.155777728248836,0.0,0.0,0.0,0.0,0.0
32,32,62.19005503402582,89.86831116368627,49.57014278195334,0.0,0.0,0.0,0.0,0.0
33,33,50.72816834635319,99.24207625839276,62.80076491674919,0.0,0.0,0.0,0.0,0.0
34,34,44.83986443350011,92.59919991473699,83.54362318318556,0.0,0.0,0.0,0.0,0.0
35,35,60.82221723166568,83.45747111144652,65.41915424520927,0.0,0.0,0.0,0.0,0.0
36,36,55.99155140436835,91.42024051841283,66.51317878908723,0.0,0.0,0.0,0.0,0.0
37,37,63.564999593562504,80.8941378241735,75.65090897094369,0.0,0.0,0.0,0.0,0.0
38,38,52.426033105612056,69.40500747012928,68.67774690603136,0.0,0.0,0.0,0.0,0.0
39,39,51.97388720718098,71.22393833993544,68.00580959185191,0.0,0.0,0.0,0.0,0.0
40,40,48.53892711269453,84.96345616669078,76.93216151460433,0.0,0.0,0.0,0.0,0.0
41,41,51.141938640720696,67.54939507796104,68.45705476093966,0.0,0.0,0.0,0.0,0.0
42,42,42.939237672944806,70.21678204779221,78.72185289500648,0.0,0.0,0.0,0.0,0.0
43,43,38.08384434979413,81.03013117096195,64.31962422813606,0.0,0.0,0.0,0.0,0.0
44,44,58.84336899302324,77.88993599037263,51.07825612569287,0.0,0.0,0.0,0.0,0.0
45,45,53.51818161638225,62.0446085206373,70.47086198348178,67.11022161177311,0.0,0.0,0.0,0.0
46,46,51.45954812004783,71.90286854793004,60.49697584514844,59.49422109040183,0.0,0.0,0.0,0.0
47,47,59.2809627737418,57.41740523060065,68.44746065616482,61.07470099576779,0.0,0.0,0.0,0.0
48,48,44.08063012135346,75.58021687285388,63.54376060911911,61.08523079697267,0.0,0.0,0.0,0.0
49,49,0.0,70.70994017980931,68.77421751789005,45.818110276609794,0.0,0.0,0.0,0.0
50,50,0.0,81.9537638821772,68.53454900211852,41.20799527150803,0.0,0.0,0.0,0.0
51,51,0.0,74.28538441359642,70.13778740205015,48.66839197969696,0.0,0.0,0.0,0.0
52,52,0.0,67.45940809931454,72.9185226273743,47.421566580775284,0.0,0.0,0.0,0.0
53,53,0.0,68.27642997274201,70.0132654781167,46.74183013919836,0.0,0.0,0.0,0.0
54,54,0.0,84.14995021901095,61.48940482512285,58.909527209338876,0.0,0.0,0.0,0.0
55,55,0.0,63.237092115394226,65.72516406942573,67.21350685586532,0.0,0.0,0.0,0.0
56,56,0.0,59.42335778609812,75.80466246786737,63.24787215459149,0.0,0.0,0.0,0.0
57,57,0.0,81.7184977870641,71.06482786787495,66.97840149122408,0.0,0.0,0.0,0.0
58,58,0.0,66.99464479157501,69.46346673447626,61.668186879958355,0.0,0.0,0.0,0.0
59,59,0.0,63.41720843238522,75.73362165366865,68.6740807223937,0.0,0.0,0.0,0.0
60,60,0.0,76.01439678991112,69.03299245484851,57.33880373956251,0.0,0.0,0.0,0.0
61,61,0.0,77.2004600784086,69.88156318784903,48.90283275391132,0.0,0.0,0.0,0.0
62,62,0.0,81.19607935933308,81.749163998717,73.73262790337198,0.0,0.0,0.0,0.0
63,63,0.0,73.17656379833028,66.20541525216274,55.78916613956146,0.0,0.0,0.0,0.0
64,64,0.0,73.86112103889157,79.55794710713654,67.42924532384346,0.0,0.0,0.0,0.0
65,65,0.0,53.38440577870121,65.19496993333226,59.443827236499445,0.0,0.0,0.0,0.0
66,66,0.0,65.88511514785468,62.39621556791582,70.59796943267729,0.0,0.0,0.0,0.0
67,67,0.0,69.82645593343013,69.36801163065005,57.31811828193711,0.0,0.0,0.0,0.0
68,68,0.0,85.68263913566415,67.17355677799843,65.31771232117795,0.0,0.0,0.0,0.0
69,69,0.0,68.27989886496881,74.57369830709862,62.85496085172965,0.0,0.0,0.0,0.0
70,70,0.0,56.79821054526754,77.045608215484,53.83765385324281,0.0,0.0,0.0,0.0
71,71,0.0,74.29211516984246,82.78141607234706,67.5489323573572,0.0,0.0,0.0,0.0
72,72,0.0,63.66263687226312,81.9849343198998,65.99366431183522,0.0,0.0,0.0,0.0
73,73,0.0,78.07385773898032,74.26140543586894,66.96875846255308,0.0,0.0,0.0,0.0
74,74,0.0,68.25785086954387,72.67722393285605,85.06729021355986,0.0,0.0,0.0,0.0
75,75,0.0,65.0912967820436,67.22797828064321,66.41477687345142,0.0,0.0,0.0,0.0
76,76,0.0,65.1677991974596,76.05858147605744,61.01255749393805,0.0,0.0,0.0,0.0
77,77,0.0,69.52545752232275,58.27043729360637,56.61835798234628,0.0,0.0,0.0,0.0
78,78,0.0,66.41907013333966,74.64746989944435,49.89125521159589,0.0,0.0,0.0,0.0
79,79,0.0,76.57746160664166,75.00572505432828,78.08326019879428,0.0,0.0,0.0,0.0
80,80,0.0,76.35424654323216,75.43102806413367,63.7944198691797,0.0,0.0,0.0,0.0
81,81,0.0,65.26207979167543,68.94749322910093,64.21873224202213,0.0,0.0,0.0,0.0
82,82,0.0,73.72304440332455,79.11008979947036,66.82655205503801,0.0,0.0,0.0,0.0
83,83,0.0,76.05699210064066,83.55962460409287,63.233542821395396,0.0,0.0,0.0,0.0
84,84,0.0,57.32775477267221,68.16843978811454,75.12997136383812,0.0,0.0,0.0,0.0
85,85,0.0,47.13568565073947,69.69230169480225,58.91292834955926,0.0,0.0,0.0,0.0
86,86,0.0,53.00913709718289,72.3266444820867,66.57579751434461,0.0,0.0,0.0,0.0
87,87,0.0,54.16873570653331,67.39898157565652,64.50923738793198,0.0,0.0,0.0,0.0
88,88,0.0,63.883020989953174,74.40220514927648,65.3568137179736,0.0,0.0,0.0,0.0
89,89,0.0,60.39693390063343,69.54987525869333,82.35738136956174,0.0,0.0,0.0,0.0
90,90,0.0,50.414124693545176,80.52167106822768,76.46054538225155,0.0,0.0,0.0,0.0
91,91,0.0,71.22386563431186,68.86354618353727,67.957197560762,0.0,0.0,0.0,0.0
92,92,0.0,65.77109992632244,60.29782872595618,65.07679394523578,0.0,0.0,0.0,0.0
93,93,0.0,58.359887616761846,72.45804295930789,72.8740406039615,0.0,0.0,0.0,0.0
94,94,0.0,59.76068804228301,75.65505390083956,66.0689185894239,0.0,0.0,0.0,0.0
95,95,0.0,61.659190632374674,70.62469989083097,80.7385986695763,0.0,0.0,0.0,0.0
96,96,0.0,56.032266093992575,70.00388520771975,81.15185297853043,0.0,0.0,0.0,0.0
97,97,0.0,38.49067220975189,64.50058953319243,68.91239913735531,53.666624145672685,0.0,0.0,0.0
98,98,0.0,38.89463192693581,68.43731395547348,80.42545408018157,61.77374988892805,0.0,0.0,0.0
