,time,828,1457,1502,873,1480,851,829,1503
0,0,69.83054085762113,50.056714637827426,64.0919614946706,0.0,0.0,0.0,0.0,0.0
1,1,78.76561727465058,54.97795980323456,46.04140096777161,0.0,0.0,0.0,0.0,0.0
2,2,79.93796147172424,56.199367894699165,59.95303545732689,0.0,0.0,0.0,0.0,0.0
3,3,80.37549209233791,42.92140318259952,46.70230299310917,0.0,0.0,0.0,0.0,0.0
4,4,75.14034578254545,42.146732491967335,62.927946807490244,0.0,0.0,0.0,0.0,0.0
5,5,72.30050617395561,58.77642350142765,51.368167290504275,0.0,0.0,0.0,0.0,0.0
6,6,85.62651766630233,67.95490303560096,59.252774321006186,0.0,0.0,0.0,0.0,0.0
7,7,66.63817442333934,61.0233545556636,55.14126119517165,0.0,0.0,0.0,0.0,0.0
8,8,74.80914698017276,54.0835264550394,61.634614414586366,0.0,0.0,0.0,0.0,0.0
9,9,79.4282169858024,52.740698658710286,46.74459474418743,0.0,0.0,0.0,0.0,0.0
10,10,80.18337730486044,62.33498509775934,48.58097373881136,0.0,0.0,0.0,0.0,0.0
11,11,88.01513496573371,41.87585946736656,44.20210340770272,0.0,0.0,0.0,0.0,0.0
12,12,77.72692609617204,53.26792590304876,48.40108692041303,0.0,0.0,0.0,0.0,0.0
13,13,79.07306287162716,49.349132600174606,69.42435657999698,0.0,0.0,0.0,0.0,0.0
14,14,96.72929211673832,47.56855961245072,61.577703896681875,0.0,0.0,0.0,0.0,0.0
15,15,81.73141695617889,47.257733349893385,70.3557345512191,0.0,0.0,0.0,0.0,0.0
16,16,83.40412883523858,46.988886558996285,62.59807129513712,0.0,0.0,0.0,0.0,0.0
17,17,79.91683550151517,50.26549483950791,57.55391048460157,0.0,0.0,0.0,0.0,0.0
18,18,66.5799806380255,52.49624572402963,54.505664273663456,0.0,0.0,0.0,0.0,0.0
19,19,62.67949879863893,44.26994048278573,68.6144926255997,0.0,0.0,0.0,0.0,0.0
