,time,346,1292,1270,1315,324,1293,369,347,1338
0,0,80.31171853671303,80.79547312907448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,66.11969942539264,72.1780509578632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,87.03920466176315,63.92171835497135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,59.734345690299065,74.99798200999552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,86.76026139818306,68.01039513054482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,80.95503674254505,78.89101870017495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,53.72640629088413,55.40939224421251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,87.89916662486934,66.27708672030815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,74.45216054587999,62.38633446348739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,88.49048916415882,65.10354338411476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,81.8732058354676,61.95651836535789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,59.42621762597965,53.61610070508658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,80.0107808736992,53.51151635417725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,80.46041025204602,59.43574018012621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,79.6023197589588,63.87775632584787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,85.708147991316,67.40744320354295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,95.484714137434,56.646260042532305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,85.34412156918094,57.556878914167186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,89.83416299281066,55.60405081170439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,85.62434344599474,43.069802548469426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,73.47717480069699,62.37126199606752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,90.81402095950158,61.40070984842156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,76.28176237892191,54.14046138854772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,84.41137779911749,53.077863339549125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,100.08513249309925,63.42371446953667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,74.00461122899739,62.90227109246422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,89.12559418876323,48.88819635164081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,76.97319695429456,44.8086846258751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,88.43644709166838,63.55409771342306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,84.06660763972104,54.796137120552984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,78.24018716147707,45.13839052128486,43.050755452933444,0.0,0.0,0.0,0.0,0.0,0.0
31,31,74.35284711086086,46.53335829032687,53.531947966551115,0.0,0.0,0.0,0.0,0.0,0.0
32,32,69.3573144468194,64.68422453059397,57.46123261755757,0.0,0.0,0.0,0.0,0.0,0.0
33,33,73.77833712913053,0.0,53.65446700146927,0.0,0.0,0.0,0.0,0.0,0.0
34,34,92.30993476200628,0.0,48.76973864985719,0.0,0.0,0.0,0.0,0.0,0.0
35,35,74.73278048950442,0.0,56.316325311511186,0.0,0.0,0.0,0.0,0.0,0.0
36,36,83.63702449509172,0.0,48.29479577536961,0.0,0.0,0.0,0.0,0.0,0.0
37,37,88.46264258279118,0.0,43.387042683234384,0.0,0.0,0.0,0.0,0.0,0.0
38,38,83.0236269147132,0.0,46.19438038503634,0.0,0.0,0.0,0.0,0.0,0.0
39,39,94.86274173586271,0.0,55.99872891746735,0.0,0.0,0.0,0.0,0.0,0.0
40,40,83.90196429150622,0.0,64.8779473398202,0.0,0.0,0.0,0.0,0.0,0.0
41,41,86.04856483504405,0.0,57.952218004502505,0.0,0.0,0.0,0.0,0.0,0.0
42,42,94.33374592796181,0.0,56.60426764296314,52.148075336204926,0.0,0.0,0.0,0.0,0.0
43,43,67.60399452089914,0.0,36.55370996026143,46.03195599615732,0.0,0.0,0.0,0.0,0.0
44,44,83.73678210507917,0.0,45.33476271286689,52.53985468049267,0.0,0.0,0.0,0.0,0.0
45,45,79.99811924305101,0.0,50.83461481248659,44.95394841027631,0.0,0.0,0.0,0.0,0.0
46,46,77.70196603677434,0.0,45.102526363365904,48.401992222689415,0.0,0.0,0.0,0.0,0.0
47,47,79.58042818389981,0.0,42.86821041380967,57.918688066386125,0.0,0.0,0.0,0.0,0.0
48,48,84.87466724447533,0.0,54.082313562870034,60.25245165256167,0.0,0.0,0.0,0.0,0.0
49,49,77.61587075601152,0.0,54.26249926795951,55.73917345121669,0.0,0.0,0.0,0.0,0.0
50,50,84.70369052851252,0.0,57.27548398661348,64.07873629747843,0.0,0.0,0.0,0.0,0.0
51,51,81.6000884899203,0.0,49.60906301218937,54.15406927731266,0.0,0.0,0.0,0.0,0.0
52,52,77.8155985709997,0.0,55.08544518996524,60.472416922213306,0.0,0.0,0.0,0.0,0.0
53,53,83.44439923897201,0.0,50.874519961108405,61.96845200859461,0.0,0.0,0.0,0.0,0.0
54,54,81.60886717702768,0.0,60.39278639503407,40.833538393599525,0.0,0.0,0.0,0.0,0.0
55,55,73.62434296442633,0.0,58.658285124491954,44.495951268676166,0.0,0.0,0.0,0.0,0.0
56,56,70.94475306091365,0.0,62.07617883259458,54.34118354440514,61.18582269354515,0.0,0.0,0.0,0.0
57,57,82.42040966509796,0.0,0.0,61.940408508899274,46.244742110251934,0.0,0.0,0.0,0.0
58,58,72.80556958501847,0.0,0.0,66.85684873404618,66.22291787843548,0.0,0.0,0.0,0.0
59,59,80.93886229944198,0.0,0.0,50.12428979644565,55.3343990801809,0.0,0.0,0.0,0.0
60,60,76.86444945330048,0.0,0.0,62.859378586684535,61.87398250008841,0.0,0.0,0.0,0.0
61,61,70.45914684614158,0.0,0.0,64.3570877987839,49.096669540932325,0.0,0.0,0.0,0.0
62,62,75.93250548561329,0.0,0.0,60.50444445820491,48.70223374690367,0.0,0.0,0.0,0.0
63,63,71.04260708189238,0.0,0.0,50.73664899715307,55.491866802658635,0.0,0.0,0.0,0.0
