,time,252,858,836,230,881,275,859,253,837
0,0,59.706891386846216,91.79865342978056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,76.4627118236603,85.85363084236094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,72.59064771302218,77.84728427476031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,80.43038323703911,74.15753930591295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,79.55698979327742,63.95700022611174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,52.80149134364989,78.20381760861798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,83.66448557034525,82.08559165009147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,66.44518120679953,75.2070775078987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,72.38463837414056,65.75680494126243,63.8975766865208,0.0,0.0,0.0,0.0,0.0,0.0
9,9,74.30992714330728,86.73347290012545,50.00250438848903,0.0,0.0,0.0,0.0,0.0,0.0
10,10,66.6280722012275,70.65293987855894,50.522871380697055,0.0,0.0,0.0,0.0,0.0,0.0
11,11,67.79265139342024,79.72550858004513,54.6833678026143,0.0,0.0,0.0,0.0,0.0,0.0
12,12,83.64053490533597,61.004374296410205,67.8925191422244,0.0,0.0,0.0,0.0,0.0,0.0
13,13,67.73183030750818,72.48338195038022,61.44207184857523,0.0,0.0,0.0,0.0,0.0,0.0
14,14,79.44620940481843,71.69602766277181,63.02384844999954,0.0,0.0,0.0,0.0,0.0,0.0
15,15,75.75097538301848,81.21617260004301,59.49846913906287,0.0,0.0,0.0,0.0,0.0,0.0
16,16,64.75460320435691,60.93189150515401,53.518575635449494,0.0,0.0,0.0,0.0,0.0,0.0
17,17,74.456437347977,68.8149691961569,54.03593524974332,0.0,0.0,0.0,0.0,0.0,0.0
18,18,69.40073320597483,76.51565041034468,54.98530747020868,0.0,0.0,0.0,0.0,0.0,0.0
19,19,72.82490783414616,71.4768499477305,49.20617172154749,0.0,0.0,0.0,0.0,0.0,0.0
20,20,75.21401005828551,68.63210411275597,58.31682101710691,0.0,0.0,0.0,0.0,0.0,0.0
21,21,73.04936144895574,67.34903872319265,49.88868181357144,0.0,0.0,0.0,0.0,0.0,0.0
22,22,71.60972201281018,76.03228912455957,42.20686467284374,0.0,0.0,0.0,0.0,0.0,0.0
23,23,69.3704126982542,84.24219768719398,52.659407530621856,0.0,0.0,0.0,0.0,0.0,0.0
24,24,80.13640886477219,95.9227594744929,64.74747338967579,0.0,0.0,0.0,0.0,0.0,0.0
25,25,92.83453271169222,71.98769684564422,59.14714076972302,0.0,0.0,0.0,0.0,0.0,0.0
26,26,92.51510442395967,68.92116689146016,60.91201048142804,0.0,0.0,0.0,0.0,0.0,0.0
27,27,82.73764503982689,68.39830392659698,73.2613640966133,0.0,0.0,0.0,0.0,0.0,0.0
28,28,74.86659095447453,51.074473221384864,52.019534164669494,0.0,0.0,0.0,0.0,0.0,0.0
29,29,73.65647155756139,66.10141611343676,61.941390470188615,0.0,0.0,0.0,0.0,0.0,0.0
30,30,83.5654301557484,85.665843684397,66.02512139053472,0.0,0.0,0.0,0.0,0.0,0.0
31,31,89.0145903989417,66.6110458148403,55.596138390709726,0.0,0.0,0.0,0.0,0.0,0.0
32,32,88.5864931178595,70.52758845554368,65.28174797541895,0.0,0.0,0.0,0.0,0.0,0.0
33,33,75.7418556101025,67.30324441370155,61.797267001372354,0.0,0.0,0.0,0.0,0.0,0.0
34,34,92.62245488051016,54.88953949973636,59.790526283813435,0.0,0.0,0.0,0.0,0.0,0.0
35,35,85.54327176757884,83.03293123850877,64.54957115797579,0.0,0.0,0.0,0.0,0.0,0.0
36,36,76.09309208879674,66.77411027582623,65.18145852395469,0.0,0.0,0.0,0.0,0.0,0.0
37,37,72.08318856129816,73.47369210607644,63.5976724498816,0.0,0.0,0.0,0.0,0.0,0.0
38,38,81.06569915005096,72.44883437540136,65.76966623905427,0.0,0.0,0.0,0.0,0.0,0.0
39,39,87.03926173135554,58.04504163883459,53.04885570001491,0.0,0.0,0.0,0.0,0.0,0.0
40,40,89.19649552266668,66.28995231083647,63.670440905242984,0.0,0.0,0.0,0.0,0.0,0.0
41,41,77.73576706361092,62.71942471612881,71.41892072772136,0.0,0.0,0.0,0.0,0.0,0.0
42,42,62.62694168536483,52.14652068710531,63.093469157805856,0.0,0.0,0.0,0.0,0.0,0.0
43,43,66.99659834976632,44.358569995494165,66.14321113327942,0.0,0.0,0.0,0.0,0.0,0.0
44,44,72.10089431899237,63.0830378514292,69.6512931986757,0.0,0.0,0.0,0.0,0.0,0.0
45,45,82.0227867242768,51.379143130509064,56.14274055014624,0.0,0.0,0.0,0.0,0.0,0.0
46,46,84.88125680611759,61.96459530054072,60.29322513505557,0.0,0.0,0.0,0.0,0.0,0.0
47,47,92.67410383309058,66.50400360812255,70.81411726074973,0.0,0.0,0.0,0.0,0.0,0.0
48,48,71.35200125119687,75.17236120443141,67.83359324502555,0.0,0.0,0.0,0.0,0.0,0.0
49,49,79.63603100278974,55.10090201799797,70.98850668878583,0.0,0.0,0.0,0.0,0.0,0.0
50,50,74.17884371101216,64.94799276258323,73.61592503207022,0.0,0.0,0.0,0.0,0.0,0.0
51,51,85.60150983133771,51.54616467054174,75.40037700536321,0.0,0.0,0.0,0.0,0.0,0.0
52,52,64.99896733924786,60.25352595352909,63.69506664377591,0.0,0.0,0.0,0.0,0.0,0.0
53,53,82.1987650867349,45.788415196472585,63.28755247042163,0.0,0.0,0.0,0.0,0.0,0.0
54,54,84.78179520614721,54.58836908921634,61.01752864518001,0.0,0.0,0.0,0.0,0.0,0.0
55,55,87.86010893263655,63.80826619502429,87.0435631440562,0.0,0.0,0.0,0.0,0.0,0.0
56,56,87.46507376751413,53.70361974144599,84.41426878458424,0.0,0.0,0.0,0.0,0.0,0.0
57,57,76.90277619255575,52.1011927884277,73.74818335104911,0.0,0.0,0.0,0.0,0.0,0.0
58,58,88.62794223271281,41.55391963721328,56.15268073354897,0.0,0.0,0.0,0.0,0.0,0.0
59,59,85.24050079687284,61.90709441227687,72.54566269096684,0.0,0.0,0.0,0.0,0.0,0.0
60,60,79.67309755443091,58.01089416192468,69.4497676907788,0.0,0.0,0.0,0.0,0.0,0.0
61,61,71.93790418504204,47.55190790348385,71.74084914791996,0.0,0.0,0.0,0.0,0.0,0.0
62,62,80.05691174979152,56.56093358374717,62.02287002384191,0.0,0.0,0.0,0.0,0.0,0.0
63,63,79.72994313383016,50.65614789176444,76.9495408875228,0.0,0.0,0.0,0.0,0.0,0.0
64,64,79.5067476975248,59.89610674877737,62.519022512724305,39.19138186589272,0.0,0.0,0.0,0.0,0.0
65,65,80.02551317725904,56.69862189781479,79.57670942281435,51.646750651443924,0.0,0.0,0.0,0.0,0.0
66,66,67.41076345490832,46.79467785282095,83.22509918221024,54.76379966625784,0.0,0.0,0.0,0.0,0.0
67,67,68.96443142195174,50.05172378363521,79.45851364134073,56.94712200670621,0.0,0.0,0.0,0.0,0.0
68,68,88.12903584648215,36.87927941176499,71.03642194592662,45.19572603306439,0.0,0.0,0.0,0.0,0.0
69,69,78.29800088376862,49.4746495005369,82.90916077768485,34.043664729264904,0.0,0.0,0.0,0.0,0.0
70,70,72.62094580464876,55.304868727605665,83.19034738680398,71.75957146765538,0.0,0.0,0.0,0.0,0.0
71,71,65.71132264597594,53.388519974414336,71.46695365612297,73.09112288425547,0.0,0.0,0.0,0.0,0.0
72,72,87.27379724108572,0.0,82.8804684355865,64.19150777102405,0.0,0.0,0.0,0.0,0.0
73,73,77.67616468134347,0.0,70.23101417251598,55.20009310911157,0.0,0.0,0.0,0.0,0.0
74,74,68.40614515005086,0.0,67.55952126716983,61.794375285229364,0.0,0.0,0.0,0.0,0.0
75,75,73.10278393260684,0.0,56.12404742507633,59.20610874047339,0.0,0.0,0.0,0.0,0.0
76,76,92.09699471443074,0.0,63.17653499295688,56.04022585617882,0.0,0.0,0.0,0.0,0.0
77,77,84.56967335117123,0.0,74.75586652931091,67.15713235224905,0.0,0.0,0.0,0.0,0.0
78,78,69.84463412610693,0.0,65.19243949667373,67.71051266354935,0.0,0.0,0.0,0.0,0.0
79,79,72.33301765388836,0.0,84.31870285328284,58.42668283806637,0.0,0.0,0.0,0.0,0.0
80,80,64.57158623472625,0.0,69.05657227428863,57.660119419352455,0.0,0.0,0.0,0.0,0.0
81,81,69.08122552170448,0.0,70.15790582266025,58.88251978003598,0.0,0.0,0.0,0.0,0.0
82,82,61.64677630338809,0.0,91.89494698672453,49.35107871285549,0.0,0.0,0.0,0.0,0.0
83,83,69.08282507303865,0.0,56.88519860481515,62.86463867207721,0.0,0.0,0.0,0.0,0.0
84,84,77.89303689416712,0.0,69.56031997275643,62.06454680060425,0.0,0.0,0.0,0.0,0.0
85,85,55.3936956487006,0.0,74.20546973091203,55.01661317241721,0.0,0.0,0.0,0.0,0.0
86,86,72.34441668373674,0.0,93.9933619308591,70.6056716925511,0.0,0.0,0.0,0.0,0.0
87,87,69.12679158391877,0.0,77.77482290795187,67.21777817258669,0.0,0.0,0.0,0.0,0.0
88,88,68.70224217883433,0.0,84.89405095725276,57.47613403757452,0.0,0.0,0.0,0.0,0.0
89,89,62.11251357014322,0.0,75.66593861453332,66.22650708241201,0.0,0.0,0.0,0.0,0.0
90,90,67.31624923065769,0.0,86.26736824930956,65.70174897701321,0.0,0.0,0.0,0.0,0.0
91,91,63.79763724958502,0.0,72.47561113864752,66.19765909134694,0.0,0.0,0.0,0.0,0.0
92,92,71.29555876637318,0.0,73.681594112698,69.90892810219711,0.0,0.0,0.0,0.0,0.0
93,93,69.34139834147139,0.0,82.93131560129396,58.120020066046386,0.0,0.0,0.0,0.0,0.0
94,94,76.46770881452274,0.0,94.08250622855822,55.72897736418542,0.0,0.0,0.0,0.0,0.0
95,95,55.783651229496165,0.0,66.01049364534452,65.71720823633713,0.0,0.0,0.0,0.0,0.0
96,96,73.11635106209512,0.0,67.7713317545633,63.97148906266406,0.0,0.0,0.0,0.0,0.0
97,97,51.52742279905213,0.0,75.91030995827623,67.91613400085167,0.0,0.0,0.0,0.0,0.0
98,98,69.38598526727407,0.0,89.9963168876036,63.6444449825451,0.0,0.0,0.0,0.0,0.0
99,99,57.240171576466224,0.0,78.00277166828724,67.21908893371055,0.0,0.0,0.0,0.0,0.0
100,100,54.944450281288546,0.0,83.47578811798905,79.64470375536308,0.0,0.0,0.0,0.0,0.0
101,101,53.914254102037745,0.0,71.68364258868637,54.064730797844184,0.0,0.0,0.0,0.0,0.0
102,102,50.22518666557766,0.0,69.38834702094607,64.98246556632311,0.0,0.0,0.0,0.0,0.0
103,103,62.74623015464724,0.0,63.371578531089945,55.5759355430137,0.0,0.0,0.0,0.0,0.0
104,104,53.17782395999238,0.0,88.15436003533998,63.06048976597636,0.0,0.0,0.0,0.0,0.0
105,105,64.04566376871796,0.0,69.47300861609904,62.08807593526211,0.0,0.0,0.0,0.0,0.0
106,106,60.879654169047775,0.0,82.88866583688373,70.47650360041769,0.0,0.0,0.0,0.0,0.0
107,107,65.87606759913812,0.0,76.94981739395774,49.1048019448815,0.0,0.0,0.0,0.0,0.0
108,108,56.65225578276854,0.0,69.62089673293963,70.32551247065521,0.0,0.0,0.0,0.0,0.0
109,109,71.81133698328857,0.0,64.39443751757425,64.2830866364076,0.0,0.0,0.0,0.0,0.0
110,110,63.53542499963843,0.0,72.93888419876946,71.46352873395638,0.0,0.0,0.0,0.0,0.0
111,111,62.36777460094909,0.0,72.34092203122464,74.21710694141461,0.0,0.0,0.0,0.0,0.0
112,112,61.10576433717861,0.0,76.26451049321881,61.089202289697326,0.0,0.0,0.0,0.0,0.0
113,113,38.60851862102138,0.0,71.58646150187526,65.6808750184201,0.0,0.0,0.0,0.0,0.0
114,114,57.561785655737665,0.0,79.95066197519019,60.0480024063295,0.0,0.0,0.0,0.0,0.0
115,115,54.679344725031,0.0,65.00355761138067,71.47148999658526,0.0,0.0,0.0,0.0,0.0
116,116,56.17413597848993,0.0,82.8070549212977,64.1900427651335,0.0,0.0,0.0,0.0,0.0
117,117,61.05014721267324,0.0,71.4852390050414,71.3755097916102,0.0,0.0,0.0,0.0,0.0
118,118,57.78380977272967,0.0,78.52742431496924,60.28712643992285,0.0,0.0,0.0,0.0,0.0
119,119,54.83328338065363,0.0,69.06790761726946,65.53517962385858,0.0,0.0,0.0,0.0,0.0
120,120,58.794351966838875,0.0,75.85307426555303,64.95853022952919,0.0,0.0,0.0,0.0,0.0
121,121,57.116711113212844,0.0,68.94110559610195,59.8339773847973,0.0,0.0,0.0,0.0,0.0
122,122,53.679752428421686,0.0,52.23775118158363,65.89636322752506,0.0,0.0,0.0,0.0,0.0
123,123,56.14990361572062,0.0,80.90894042713067,81.32994424738087,0.0,0.0,0.0,0.0,0.0
124,124,65.75280855723324,0.0,58.80803563266231,81.26695579474224,0.0,0.0,0.0,0.0,0.0
125,125,45.96234444384564,0.0,68.6578507026795,72.13761251732524,0.0,0.0,0.0,0.0,0.0
126,126,0.0,0.0,65.09978503604435,81.75038866925469,0.0,0.0,0.0,0.0,0.0
127,127,0.0,0.0,68.41009844500292,64.92388123421199,0.0,0.0,0.0,0.0,0.0
128,128,0.0,0.0,65.02067010754637,81.73484817472624,0.0,0.0,0.0,0.0,0.0
129,129,0.0,0.0,68.01018960589946,71.83007228588579,0.0,0.0,0.0,0.0,0.0
130,130,0.0,0.0,73.407984219084,85.33752613594929,0.0,0.0,0.0,0.0,0.0
131,131,0.0,0.0,75.31058400988852,75.24587015535478,0.0,0.0,0.0,0.0,0.0
132,132,0.0,0.0,65.44622345356586,65.67141435559827,0.0,0.0,0.0,0.0,0.0
133,133,0.0,0.0,81.23998974680923,69.62532587855407,0.0,0.0,0.0,0.0,0.0
134,134,0.0,0.0,65.11627624949642,71.89260717267331,0.0,0.0,0.0,0.0,0.0
135,135,0.0,0.0,50.7502856669728,77.18750145823014,0.0,0.0,0.0,0.0,0.0
136,136,0.0,0.0,62.10072275986487,86.42188355601658,0.0,0.0,0.0,0.0,0.0
